uuid,sentence,label
E2687180002170006,大便出血买什么药,咨询药物
E1179480005757019,他们又说这种病治不断根,咨询疗效
E1179480000349027,这个还能回复吗,无
E1179480000285017,现在特别难受,描述症状
E2687180005048032,那如何减少痛苦？,咨询治疗方式
E2687180005436017,可能是什么情况导致的？,咨询病因
E9000300011672034,还是担心你们这种医院的微创手术有风险,咨询动刀
E1179480000455019,告诉我就可以了,无
E2687180000807009,当时说是 肛门里有个直肠息肉  也这个切除了就拿了一部分药,描述就诊史
E2687180003414028,下周三,无
E1179480004937020,无痛胃镜贵吗,咨询检查费用
E1185480003670024,你是在医院上班吗？,无
E2687180059390001,我家宝宝2岁半脱肛有半年了，解治愈吗,咨询疗效
E2687180026787055,做直肠镜多钱呢,咨询检查费用
E1179480000141002,当天去能做上吗？是否需要提前一天准备什么药排空肠道,确定预约时间
E1185480000573055,药钱大概要多少呢,咨询价格
E2687200008868043,从义和庄到涿州。坐几路车？,咨询路线
E1179480000199027,胃痛吃什么好,咨询项目介绍
E1179480000207017,我不玩微信,确定联系意愿
E2687180001638003,"我想咨询""痔疮大便出血怎么治疗""",咨询治疗方式
E1179480002643026,会不会得胃癌了啊,咨询项目介绍
E1179480003786024,害怕做胃镜无痛胃镜多少钱,咨询检查费用
E1179480000845018,这些价格合理吗,咨询价格
E2687180035938003,我打你电话问吧,咨询电话
E2687180004935001,"我想咨询""痔疮内痔用什么药最好""",咨询药物
E1179480002760019,具体治疗方法,咨询治疗方式
E1179480000224004,没有就是口水有点,描述症状
E1179480002734025,"我想咨询""幽门杆菌的症状""",咨询项目介绍
E2687180000162030,如果有这几种情况怎么办多一半是内痔,咨询治疗方式
E2687180049488111,明天早上几点可以？,确定预约时间
E1179480000580000,"我想咨询""肚子右侧痛想呕""",描述症状
E2687180002633018,说是有痔疮不能做肛门镜,描述就诊史
E1179480003892003,"我想咨询""老是放屁不拉屎怎么办""",咨询治疗方式
E2687180016166020,这样需要手术吗,咨询动刀
E1179480005066033,这种情要做胃镜吗,咨询检查方式
E2687200006772033,费用？,咨询价格
E2687180049488069,其他周末不行，是吗？,确定预约时间
E2687180051708082,你号不是手机号吧,咨询电话
E1185480001462056,你报个手机号码给我，好吗,咨询电话
E2687180000714051,我也咨询过东大，说要手术才行,咨询动刀
E2687180004894007,32 肛门流血怎么回事？,咨询病因
E1179480000061003,上周体检出来的,描述就诊史
E2687180014196007,喝完酒和吃完辣的食物效果更严重,描述症状
E1179480000274014,胃疼啊,描述症状
E1179480003359031,我平时都是按时吃饭  然后这两天中午在公司我懒 没吃  可能就因为这样吧,咨询病因
E2687180014162026,大概检查多少钱？,咨询检查费用
E1179480004769071,我若到贵院如何找他,咨询电话
E2687180000233033,治疗需要多长时间？,咨询疗程
E2687180047909058,可以治愈嘛,咨询疗效
E2687180012369012,一老家一个肛肠诊所,无
E2687180087743008,一天除去很多次,无
E2687180019676017,要做啥检查？,咨询检查方式
E2687180001097008,以前肛裂，好了，,描述症状
E2687180000666004,我这样情况怎么治疗？,咨询治疗方式
E1179480001668027,最近忙,无
E2687180004427047,7号 可以吗,确定预约时间
E1179480000487025,我以为老是喝奶茶,无
E1185480001678004,如果吃饱了直接睡觉是否不好,无
E2687180000331026,徐睿 挂号费多少,咨询价格
E2687180001689011,你想知道什么,无
E1179480002735047,幽菌检测用空腹吗？我忘记了,无
E2687180000475029,那什么原因？,咨询病因
E2687180000396008,鲜红，不滴，拉的时有,描述症状
E2687180020316005,吉林市附属医院,无
E1179480000330014,想做胃镜可以吗,咨询检查方式
E1179480003814026,有这么严重吗？我只是想开点药吃看看，我父母都是医生，二姐和外孙女都是医生！,咨询危害
E1179480001033015,我不知怎么就点进来了，一般咨询不都是要收费吗,咨询价格
E1185480002978054,你院是中西结合的吗,咨询公司介绍
E2687180003013079,好我加你吧,咨询微信
E2687180024824020,4点之前都行是吗？,确定预约时间
E1179480000488005,我刚刚吃完了,无
E1185480001768041,总得来说我应该要注意些什么呢,无
E1179480002003040,看情况吧，如果过去再打电给你,确定联系意愿
E2687180002270048,如果有息肉要取掉的情况，扫描行吗,咨询检查方式
E2687180005456012,肠炎宁和蒙脱石散,咨询药物
E1179480001238017,找些消炎药吃试试,描述就诊史
E1179480003281011,就有那种缓解症状的药吗？,咨询药物
E2687180024420056,那您说说检查项目和费用吧,咨询检查方式
E2687180076194014,割完之后还会长嘛,咨询疗效
E2687180009188055,你们在丰台,咨询地址
E2687180043233105,好，地铁,无
E2687180008300033,您不是要给我介绍大概费用吗？,咨询价格
E1179480000248016,还有什么病症状相同吗？,咨询项目介绍
E1179480001575010,是肠问题吗,咨询病因
E2687180000270007,三四天排一次,描述症状
E2687200001293020,我加你们吧,咨询微信
E1179480001816022,我知道了，谢谢医生，会得什么癌症吗？,咨询项目介绍
E1179480002593017,那也不会一直痛啊,描述症状
E2687180001753021,去医院的话需要检查哪些项,咨询检查方式
E2687180000210004,我加您微信 咨询吧 可以吗,咨询微信
E2687180003959018,我是女性40岁，一年多没犯了，最近可能上火引起的，我想问用啥药最好,咨询药物
E2687200003184027,不经常,描述症状
E1179480004680015,我需要去医院检查吗？,咨询检查方式
E1185480000915029,第一个疗程有中药,描述就诊史
E2687180040688003,胃肠镜怎么收费的,咨询检查费用
E1179480000176016,兴宁区邕武路这边的,无
E2687180000292015,鲜红，，分离的,描述症状
