dialog_id,sentence_id,role,sentence,label
0,11,CLIENT,我想问一下切除副乳的费用等等,咨询价格
1173,9,CLIENT,我经常按摩去美容院按摩胸部,无
1196,4,CLIENT,就这样发不可以吗？,无
1198,6,CLIENT,双侧做微创多少钱,咨询价格
1198,27,CLIENT,会不会留疤,咨询动刀
1200,16,CLIENT,但我用了半年的冷敖贴药还是没见啥郊果呀,咨询药物
1212,20,CLIENT,医生看了？他说就是良性,描述就诊史
1215,2,CLIENT,我想咨询"乳头出血",咨询项目介绍
1221,6,CLIENT,一般手术恢复需要多久,咨询疗程
1226,18,CLIENT,检查.说是囊肿,描述就诊史
1228,9,CLIENT,侧身睡觉的时候才会刺痛,描述症状
1265,8,CLIENT,穿衣服不好看,无
1272,31,CLIENT,我是个乙肝病毒携|带者,描述症状
1273,10,CLIENT,可以消除吗？,咨询疗效
1275,16,CLIENT,这里不能发自测方法吗？,无
1299,5,CLIENT,今天，平常莫得任何感觉，做的彩色多普勒检查,描述就诊史
1316,6,CLIENT,想了解一下乳头整形的知识,咨询项目介绍
1325,2,CLIENT,请问乳腺炎有小硬块怎么消除,咨询治疗方式
1332,22,CLIENT,医生建议手术，这种情况可以吃中约调理吗？,咨询药物
1351,3,CLIENT,乳腺增生是具体什么，我的乳房中间有一个硬硬的东西，像圆盘一样,咨询症状
1360,1,CLIENT,双侧乳腺稍增厚，右侧乳腺轻度扩张,描述症状
1368,1,CLIENT,请问乳腺增生3级怎么办,咨询治疗方式
1379,10,CLIENT,吃药能化解包快吗,咨询治疗方式
1380,5,CLIENT,但半个月前压着有一点点乳房疼没在意,描述症状
1389,5,CLIENT,有微创手术吗,咨询动刀
1391,8,CLIENT,乳房有针刺似的疼痛怎么回事?,咨询病因
1391,20,CLIENT,对不起我眼不太好看不清字。到时候到医院去看。,无
1393,2,CLIENT,副乳能治吗？是吃药还是手术,咨询治疗方式
1395,2,CLIENT,请问乳腺囊肿可以喝酒酿蛋吗,咨询食疗
1396,12,CLIENT,基础检查是检查哪些喃,咨询检查方式
1398,11,CLIENT,手术矫正大概要多久啊,咨询疗程
1400,21,CLIENT,长了又会怎样？,咨询危害
1411,44,CLIENT,那如果全部摘除了，还会重新长出来吗？,咨询疗效
1415,11,CLIENT,我想知道这种结节以后恶性变的机率有多大？,咨询危害
1415,13,CLIENT,暂不用药行不行？,咨询治疗方式
1464,10,CLIENT,在武侯区什么地方,咨询地址
1472,3,CLIENT,你好，请问弱回声结节三类是什么意思呢,咨询项目介绍
1482,15,CLIENT,像这种饮食应该注意些哈子呢？,咨询食疗
1509,3,CLIENT,月经要来了可以手术不,咨询动刀
1571,32,CLIENT,肿块不痛不痒怎么可能是恶性的？有没有可能检查错误,咨询症状
1588,16,CLIENT,请问什么是增生？？,咨询项目介绍
1590,24,CLIENT,去年公司体检照过,描述就诊史
1592,14,CLIENT,没有任何症状，一切正常,描述症状
1596,61,CLIENT,这个号码可以在网上挂号吗?,确定预约时间
1599,4,CLIENT,你们医院乳腺怎么样？,咨询公司介绍
1611,2,CLIENT,男生如何瘦胸,咨询治疗方式
1615,5,CLIENT,你好。如何判断是肥胖还是乳腺发育症,咨询项目介绍
1621,11,CLIENT,那个疼嘛,咨询疼痛程度
1625,12,CLIENT,你们医院做乳房检查跟宫颈检查大概多少钱呀？宫颈癌筛查,咨询检查费用
1630,3,CLIENT,胸部里有疙瘩，还会动，为什么？,咨询病因
1632,5,CLIENT,不清楚 应该是后天,无
1644,4,CLIENT,都有哪些手术方式呢,咨询动刀
1659,5,CLIENT,增生节结囊肿导管都有,描述症状
1664,10,CLIENT,有丰胸的办法？,咨询治疗方式
1674,11,CLIENT,这种可以做切除术吗？,咨询治疗方式
1682,19,CLIENT,哦！你们以前有过这样的病厉吗？,无
1704,24,CLIENT,做了手术会不会复发,咨询副作用
1709,1,CLIENT,我想问下，这乳头里有点疼还有硬块，这种现象可能是什么？,咨询病因
1720,2,CLIENT,"乳腺体层见弱回声团块是什么意思啊？
严不严重？",咨询项目介绍
1742,11,CLIENT,这个手术后，有啥后癔症？,咨询副作用
1742,34,CLIENT,你们医院就有保障？,咨询公立私立
1761,7,CLIENT,为什么会形成副乳,咨询病因
1762,17,CLIENT,你们是手术修复还是？,咨询动刀
1762,27,CLIENT,刚才断网了,无
1788,3,CLIENT,去妇产科检察的话大概费用是多少,咨询检查费用
1791,11,CLIENT,手感小包块，疼痛感,描述症状
1851,33,CLIENT,现在申请要交钱吗？,无
1856,18,CLIENT,这个是你的号码吗,咨询电话
1862,15,CLIENT,你们是哪个医院,咨询公司介绍
1910,22,CLIENT,要什么时间合适取和做些什么检查吗？,咨询检查方式
2023,9,CLIENT,走路下楼梯也就非常痛,描述症状
2028,14,CLIENT,去医院他就喊我去抽,描述就诊史
2033,13,CLIENT,我想知道搽药能擦什么药呢,咨询药物
2037,11,CLIENT,请问怎么能消的了这硬块,咨询治疗方式
2039,25,CLIENT,今天对体检了，教我去医院进一步查,描述就诊史
2049,11,CLIENT,我已经记下了你的电话号码，现在正在上班，没时间，有空了我就过来找你。,确定预约时间
2088,15,CLIENT,你们医院是私立医院吗,咨询公立私立
2090,8,CLIENT,手术时间长不？,咨询疗程
2180,15,CLIENT,最开始是血色，变成白色了,描述症状
2187,1,CLIENT,请问老师右侧乳腺混合回声团什么意思,咨询项目介绍
2188,6,CLIENT,也是有点痛去检查的，没什么。过几天就好了,描述就诊史
2193,8,CLIENT,如果是乳腺炎能给孩子哺乳嘛,无
2195,14,CLIENT,那请问如何控制呢？,咨询治疗方式
2196,2,CLIENT,我想咨询"乳头矫正手术价格",咨询价格
2224,22,CLIENT,都要注意什么比如,无
2225,13,CLIENT,好吧，怎么添加微信呢,咨询微信
2230,3,CLIENT,想请问你们医院做乳头内陷手术做的多吗,无
2316,18,CLIENT,你的号是多少,咨询微信
2358,7,CLIENT,有什么药可以调理吗？无包块无积液,咨询药物
2363,9,CLIENT,每次痛了我就贴个暖宝好了,描述症状
2365,13,CLIENT,你们俩是在哪里昵？,咨询地址
2371,2,CLIENT,请问您们医院有微创切副乳的手术吗,咨询动刀
2414,22,CLIENT,你们医院一般大概好多钱呢,咨询价格
2416,15,CLIENT,你好，我刚咨询的，退出去回来就没有消息历史了,无
2420,9,CLIENT,请医生建议可吃什么药吗？,咨询药物
2421,7,CLIENT,26岁，之前在你们医院做过乳腺纤维瘤,描述就诊史
2440,14,CLIENT,今天才去检查的，我对此一下价格,咨询价格
2441,3,CLIENT,我联系不到之前联系的医生，我在你们医院预约了检查但是我想改个时间怎么办,确定预约时间
2466,6,CLIENT,刚刚掉线了?,无
2480,5,CLIENT,乳腺超声显示0类  是什么意思,咨询项目介绍
2495,5,CLIENT,双乳囊性占位,咨询项目介绍
2506,15,CLIENT,没有抽烟，不会抽烟,无
2532,5,CLIENT,用手摸里面有硬邦邦的,描述症状
2538,18,CLIENT,你是男医生还是？,无
2553,1,CLIENT,胸部缩小有后遗症嘛,咨询副作用
2570,12,CLIENT,去诊所看医生，医生叫每天晚上热敷，可是没有效果,描述就诊史
2579,11,CLIENT,请问是用啥子医呢,咨询治疗方式
2589,10,CLIENT,管终生吗,咨询疗效
2593,20,CLIENT,你们离蜀都医院多远呀,咨询地址
2595,19,CLIENT,纤维瘤的症状是什么,咨询症状
2602,7,CLIENT,乳头周围都有，我用手去撑着就是小痘痘一样，不撑着就感觉是包,描述症状
2604,13,CLIENT,可以，请问上门服务需要多少钱？,无
2605,13,CLIENT,哪种手术？会留疤吗,咨询动刀
2668,12,CLIENT,医院也检查过，药也吃了很多，就是没断根,描述就诊史
2754,1,CLIENT,乳房裂口怎么才能愈合的快,咨询治疗方式
2755,25,CLIENT,在哪个位置,咨询地址
2791,15,CLIENT,副乳割掉对胸有伤害吗？,咨询危害
2803,13,CLIENT,严重会导致什么？,咨询危害
2824,25,CLIENT,做了穿刺，在华阳二医院做的，医生说是良性的，三个月去复查,描述就诊史
2824,79,CLIENT,我检查出有纤维上皮性病变，符合纤维腺瘤改变，这严重吗?,咨询危害
2829,33,CLIENT,术后容易复发吗?,咨询副作用
2863,8,CLIENT,你这个医院是在成都哪个地方？,咨询地址
2880,13,CLIENT,这问题太专业了,无
2910,4,CLIENT,我断奶以后乳头发痒并有黄色分泌物,描述症状
2920,13,CLIENT,微创会不会做不干净,咨询疗程
2925,13,CLIENT,主要不是很明显痛，而且也不是天天痛，偶尔痛一下，所以还没去彻底检查,描述症状
2925,19,CLIENT,你二维码发来我加你,咨询微信
2984,13,CLIENT,恢复期要多久呢,咨询疗程
3034,5,CLIENT,感觉乳房里好像一有一点点结块，捏起一痛感有什么大问题吗,描述症状
3077,2,CLIENT,乳腺纤维瘤手术，需要住院吗？,咨询住院
3085,2,CLIENT,我想咨询"胸部有针扎的刺痛感是怎么回事",咨询病因
3089,15,CLIENT,对，当时医生就说好像是囊肿，我说用不用开药，当时没给我开,描述就诊史
3094,23,CLIENT,我觉得保守治疗时间太长了。而且很麻烦。,无
3095,23,CLIENT,以前医生没说可以手术治疗，所以就没管，可以的话肯定想改善咯,描述就诊史
3097,8,CLIENT,像这样的，有什么方案,咨询治疗方式
3155,41,CLIENT,你发自测给我呢？,无
3163,12,CLIENT,还有机会用矫正吗？,咨询治疗方式
3196,17,CLIENT,在吃中药治疗,描述就诊史
3203,2,CLIENT,是想咨询乳腺减低回声区边界不清，形状不规则？,描述症状
3220,7,CLIENT,是一种病态前兆吗？,无
3340,19,CLIENT,我没坐过地铁,无
3401,21,CLIENT,开始输的头炮，没有效果，越来越大，越来越痛，昨天换的青霉素,描述症状
3401,23,CLIENT,你们是什么医院,咨询公司介绍
3401,33,CLIENT,还有可以报销吗,无
3402,15,CLIENT,这种手术术后的休息期是多久,咨询疗程
3407,13,CLIENT,内分泌激素紊乱是什么引起的呢,咨询病因
3457,16,CLIENT,你发过来，我加你,咨询微信
3460,27,CLIENT,网上了解的,无
3462,21,CLIENT,这种情况  我需要去医院做什么检查呢,咨询检查方式
3464,12,CLIENT,我以为我怀孕了，胸部有点疼是正常，我又没有怀孕，而且姨妈不正常,描述症状
3494,25,CLIENT,那请问这种情况严重吗？,咨询危害
3549,11,CLIENT,凝是小叶癌,咨询项目介绍
3625,26,CLIENT,对方医生说需要穿刺,描述就诊史
3630,2,CLIENT,为什么男人胸会变大？,咨询病因
3636,2,CLIENT,副乳切除大概费用是多少喃,咨询价格
3650,9,CLIENT,医生说等天气转凉的时候在去复查,描述就诊史
3654,16,CLIENT,是不是甲亢病会引起这个呢,咨询病因
3684,17,CLIENT,天天喝豆浆会不会有这样的情况，会让乳房痛,咨询病因
3714,17,CLIENT,是医生喊我买着两种药吃,描述就诊史
