uuid,sentence,label
E3141590010969001,女性做为什么做点油兆影是什么情况,无
E3141590023051032,一点几乘一点几,无
E3141590010347007,要做吗,咨询项目介绍
E3141590001040031,这些检查没做，,描述就诊史
E3141590014678022,会不会输软管堵塞啊,咨询危害
E3141590025822020,安微这边,无
E3141590002129012,有时候左边疼,描述症状
E3141590023437014,这样子我打电话给你说 可以吗,咨询电话
E3141590010302034,那治疗这类病贵不贵？,咨询价格
E3141590049424025,都很疼,描述症状
E3141590005581007,我是男性，50周岁了，右侧睾丸大，几年前在县医院看过，说是睾丸静脉曲张，暂不需要手术，可是今年以来，长大了好多，穿一般的裤子有点挤压的疼，请问需要做手术吗？,咨询手术
E3141590025127016,取环后多久不能同房？,咨询恢复期
E3141590001058053,那不是刘雨生的微信,咨询微信
E3141590033799018,头痛呀,描述症状
E3141590006028019,好的先谢谢你后续有什么需要再联系你要,确定联系意愿
E3141590006978047,你好，可以给我推荐一下吗？,无
E3141590019076009,这两种情况都可以修复吗,咨询治疗方式
E3141590005170049,我想知道，我这个需要做什么检查吗？,咨询检查方式
E3141590012134004,你是医生还是网络的助手,咨询专家
E3141590093684009,没有预约  就提前问下需要准备什么手续不,无
E3141590002501013,用药嘛,咨询药物
E3141590016176033,那我可以一起做吗？会不会两者有影响呢我是先做哪个好呢,咨询检查方式
E3141590001267030,不知道哪去了,无
E3141590015242030,我现在吃的有药  鹿胎膏  管月经么,咨询药物
E3141590014800021,成功率多少？,咨询疗效
E3141590090520021,我没QQ，谢谢你,确定联系意愿
E3141590035997018,这个做手术麻烦吗，我还要工作，假期很少,咨询手术
E3141590074495024,红糖红枣也不能吃吗,咨询食疗
E3141590006688109,还下雨怎么可能方便,无
E3141590074841002,膝关节疼，吃什么能治愈,咨询食疗
E3141590013123026,好吧 那先试试,无
E8393550003435015,我记得公立医院可以试管。但不会告诉性别啊,咨询公立私立
E3141590002857018,费用要多少,咨询价格
E3141590022651004,知道重组促卵泡素注射液吗,咨询药物
E3141590012494017,疼好还是不疼好,无
E3141590001280026,我也在包河区,无
E3141590061166017,这个术后需要住院吗,咨询住院
E3141590015083012,请问一下我今天去做了输卵管造影好疼啊还会流血,描述症状
E3141590063102025,也多喝开水,无
E3141590019091033,专业的,无
E3141590073314008,要喝点什么？,咨询食疗
E3141590006804034,挺稳定的,无
E3141590025019026,那是自然,无
E3141590001379020,加我微信,确定联系意愿
E3141590002464010,白带点黄,描述症状
E3141590015635011,想问一个试管婴儿费用,咨询价格
E3141590071931009,只想问你一般内膜多厚可以移植,咨询手术
E3141590058012027,必须早上吗,无
E3141590048230020,不知道就想咨询一下，像我这样必须要手术吗,咨询手术
E3141590007580009,是什么原因造成的,咨询病因
E3141590001897026,医生建议清宫,描述就诊史
E3141590000480027,对呀！但是自己的老婆一直没有怀上,描述症状
E3141590013641019,中药疗效可以吗？,咨询药物
E3141590000615026,我年轻也是这样,无
E3141590037354044,造影做了三个月后才能备孕啊,咨询恢复期
E3141590030527055,做完当天可以出院吗,咨询住院
E3141590007140016,我让我朋友给你们联系吧,确定联系意愿
E3141590000920024,因為我老公患有尿毒症，所以我也忽略了自己,描述症状
E3141590066846008,手部骨折后期症,描述症状
E3141590012058025,费用和时间。我得考虑一下,无
E3141590038399044,哦，我没去过，怕不太好找,无
E3141590048358005,关节痛需要打什么针此痛快,咨询项目介绍
E3141590065741004,我想知道做通水前可以同房吗？,咨询注意事项
E3141590010585014,那如果对女性呢？,无
E3141590013529006,那现在要预约到什么时候的,确定预约时间
E3141590016096022,用什么药呢,咨询药物
E3141590036402016,我现在七个月去产检要做什么准备吗？,咨询注意事项
E3141590008104042,影响输卵管堵塞的原因有哪些啊？,咨询病因
E3141590010546025,目前预约陈庆华医生的多不多,咨询专家
E3141590036781019,目前我应该做哪些准备,咨询注意事项
E3141590009132001,我是5.6号移植的，已经十天了，今天午睡醒来按压了一下肚脐眼，现在感觉有点痛，怎么回事？是不是睡凉席原因,咨询病因
E3141590038399032,要空腹是吗,咨询注意事项
E3141590004586035,我不记得微信号,确定联系意愿
E3141590007696025,我就想问一下我这种情况可以做吗？,咨询治疗方式
E8393550002166025,没有结婚证，想找个私立医院,咨询公司介绍
E3141590000782021,医生说见意做试管婴儿,描述就诊史
E3141590073877016,望江这边到你们那去有点运,无
E3141590009262007,子宫手术费多少,咨询价格
E3141590031137054,好的，谢谢啊，医生你姓什么啊,无
E3141590013242045,我明天，回常州检查,咨询公司介绍
E3141590009757038,我就是问问，要不要带什么证件,无
E3141590088149003,可以吃桂圆吗,咨询食疗
E3141590013006032,保胎针有没有副作用,咨询副作用
E3141590029984035,这段时间不能吃冰东西吧,咨询注意事项
E3141590039562015,能吹风吗？能洗衣服,咨询注意事项
E3141590004147027,从通讯录,无
E3141590001364022,颍东区,无
E3141590013525020,黄山市人民医院,无
E3141590011172038,那这几天也长不大了嘛,咨询项目介绍
E3141590013461030,我们对这些不懂，想问问那个做的好，,咨询项目介绍
E3141590015578009,回扎以后肚子疼可正常,咨询项目介绍
