,uuid,sentence,label
0,E8239900000013003,怎么分辨胎儿的性别,咨询检查方式
1,E8239900000042002,我想问下是什么原因，应该做那些检查,咨询检查方式
2,E8239900000044024,我怀了一个月就掉了，是不是与我以前做了一次流产有很大关系？,咨询病因
3,E8239900000061001,人工受孕大概花销多少钱？,咨询价格
4,E8239900000095007,会恢复吗,咨询疗效
5,E8239900000095022,怎么调理呢     不是说三个月之内会子宫内膜会自己慢慢恢复吗,咨询治疗方式
6,E8239900000102006,怎么回事不知道,咨询病因
7,E8239900000107003,做了后需要住院吗？,咨询住院
8,E8239900000116005,大概在多少价格之间,咨询价格
9,E8239900000120011,炎症方面的？,咨询项目介绍
10,E8239900000152001,你好怀孕做了手术几个月才能怀怀上呢,咨询恢复期
11,E8239900000171018,同意一下，谢谢,确定联系意愿
12,E8239900000173001,要多少费用,咨询价格
13,E8239900000176006,就会引起吗,咨询病因
14,E8239900000208002,精液内还有颗粒怎么治疗,咨询治疗方式
15,E8239900000242004,你先告诉我疼吗,咨询疼痛程度
16,E8239900000245003,男的不孕不育难治吗,咨询疗效
17,E8239900000247004,你好，无卵泡，要做什么检查,咨询检查方式
18,E8239900000274019,嗯嗯，怎么办呢？如何处理,咨询治疗方式
19,E8239900000312012,没有了全部医生那里,无
20,E8239900000336010,什么原因导致的呢？,咨询病因
21,E8239900000356012,有其他方法吗？,咨询治疗方式
22,E8239900000378007,在这里聊一下。,无
23,E8239900000380002,帮我看看这是怎么回事,咨询病因
24,E8239900000430003,做了输卵管疏通手术第11天了，今天应该不是排卵期吧，上厕所排了一些粘液出来还有点血丝是怎么回事？昨天晚上也排了一次但是没有血丝（女，28岁）,咨询病因
25,E8239900000453014,这两天准备去医院,确定预约时间
26,E8239900000458001,你们微信多少呢,咨询微信
27,E8239900000471018,加15982466336,确定联系意愿
28,E8239900000478019,大概价格呢,咨询价格
29,E8239900000523015,你们那做人流好多钱啊,咨询价格
30,E8239900000594001,你好！我想问一下没有避孕可也没怀孕，是什么原因,咨询病因
31,E8239900000603001,我跟男朋友同房，可是那个套坏了，我该吃什么避孕药,咨询药物
32,E8239900000614001,怀孕期间什么不能吃,咨询食疗
33,E8239900000614004,什么东西都可以吃吗,咨询食疗
34,E8239900000655007,这种可以治疗吗？,咨询治疗方式
35,E8239900000679009,多少钱一个人,咨询价格
36,E8239900000713027,你确定医院能查出来，我就去医院看看,咨询检查方式
37,E8239900000722008,那都发生了怎么办,咨询治疗方式
38,E8239900000730006,胎儿检查,咨询检查方式
39,E8239900000842006,做这个大概要多少钱呢,咨询价格
40,E8239900000866007,她就说如果不适应可以取,描述就诊史
41,E8239900000867003,男生做了结扎能恢复嘛,咨询手术
42,E8239900000880008,精子活力怎么提升,咨询治疗方式
43,E8239900000905001,取环一个月怀孕能要吗,描述就诊史
44,E8239900000963009,我想问一下是不是不能同房,咨询注意事项
45,E8239900000963027,你说我能做宫腔镜吗现在,咨询检查最佳时间
46,E8239900000991001,刨腹产多久能生二胎,咨询恢复期
47,E8239900000994010,怎么调理精子最好呢 提高质量,咨询治疗方式
48,E8239900001063001,怎么补充精液,咨询治疗方式
49,E8239900001078001,怎样回奶,咨询治疗方式
50,E8239900001123007,黄体生成素是20.4,描述症状
51,E8239900001213026,我用微信,确定联系意愿
52,E8239900001232001,精索静脉曲张恢复技巧,咨询治疗方式
53,E8239900001237023,成都。,无
54,E8239900001242001,给我回电,确定联系意愿
55,E8239900001278005,怎样让胸部变大？,咨询治疗方式
56,E8239900001283002,需要检查哪些项目啊,咨询检查方式
57,E8239900001290016,我想不月经量调起来，吃什么药好！医生,咨询药物
58,E8239900001300007,是专治不孕的医院,无
59,E8239900001300011,对这个医院不是很熟,无
60,E8239900001300037,我又百度了哈你们这个医院！相关信息看不到啥,咨询公司介绍
61,E8239900001300050,我把报告发给你你回话了我在决定,无
62,E8239900001357001,做个人工手术多少钱,咨询价格
63,E8239900001381009,会病变？,咨询危害
64,E8239900001397003,45有时候，有时没有，什么回事,咨询病因
65,E8239900001452009,会不会痛,咨询疼痛程度
66,E8239900001455001,你好月经量减少是雌激素低吗,咨询病因
67,E8239900001455017,成都市成华区,无
68,E8239900001470017,我一直怀不上 我也不知道什么原因,咨询病因
69,E8239900001489005,几百啊,咨询价格
70,E8239900001500012,能有什么方法吗？,咨询治疗方式
71,E8239900001508021,不可以吃药治疗吗,咨询药物
72,E8239900001515013,有哪几种情况,无
73,E8239900001515019,还有救吗他,咨询疗效
74,E8239900001517011,好的我现在没在家回家发给你行吗,确定联系意愿
75,E8239900001517018,严不严重能不能治,咨询治疗方式
76,E8239900001522008,随便什么医院都可以吗,咨询公司介绍
77,E8239900001523009,不会影响效果吗,咨询危害
78,E8239900001526011,我想问一下这个是怎么引起的,咨询病因
79,E8239900001526015,大概有哪些情况能引起这个病因,咨询病因
80,E8239900001528002,我想问一下做腹腔镜手术切除肌瘤需要多少钱,咨询价格
81,E8239900001552001,增加精子活力有什么药物呢？,咨询药物
82,E8239900001556005,做造影B超白带，抽血,描述就诊史
83,E8239900001610003,要吃药才会来,描述症状
84,E8239900001610019,那我应该去做那些全面检查，,咨询检查方式
85,E8239900001634011,刚发给你了,确定联系意愿
86,E8239900001666013,如果切了有什么影响没得,咨询副作用
87,E8239900001667013,怎么才能治彻底,咨询治疗方式
88,E8239900001673003,为什么13岁的睑上长毛了,咨询病因
89,E8239900001674010,这种情况中药有没问题,咨询药物
90,E8239900001681017,但是不知道费用。所以想咨询一下,咨询价格
91,E8239900001686001,请问子宫积液吃什么药好,咨询药物
92,E8239900001693036,你是专业的医生吗？你怎么不回答我的问题呢？这种情况能治疗吗？以后能怀孕吗？,咨询治疗方式
93,E8239900001700014,吃什么补精子，怎么提高精子质量,咨询食疗
94,E8239900001736013,应该可以同房了吧,无
95,E8239900001769010,好吧，那天去医院查哈,确定预约时间
96,E8239900001808003,检查哪些啊,咨询检查方式
97,E8239900001810011,这个内分泌问题是什么引起的,咨询病因
98,E8239900001819019,316016200 加 QQ吧,确定联系意愿
99,E8239900001823016,十分钟后给我发发,确定联系意愿
100,E8239900001825010,定位也发一个吧？,咨询地址
101,E8239900001827020,如果你是医生的话，应该知道是什么原因引起的,咨询病因
102,E8239900001858022,我就在成都,无
103,E8239900001876001,取环要多少钱？,咨询价格
104,E8239900001876004,加开药那些,无
105,E8239900001888005,带小孩有什么风险？,咨询危害
106,E8239900001924005,用排卵试纸,描述就诊史
107,E8239900001933015,还没看到医生,无
108,E8239900001941009,可是我们这里离成都太远了,无
109,E8239900001952002,月经过了通水后多久能怀孕呢？,咨询恢复期
110,E8239900001952014,通水之间要隔一个月是不是呢,咨询恢复期
111,E8239900001957001,生完宝宝一定要上坏,无
112,E8239900001974014,我这种会出现什么情况呢,咨询危害
113,E8239900001982031,手机号就是,确定联系意愿
114,E8239900001984003,5点几,无
115,E8239900002003001,宫腔镜取环好多钱,咨询价格
116,E8239900002025016,还是打针,咨询治疗方式
117,E8239900002040009,不痛应该是不可能的    就是不想住院   有什么解决办法吗？,咨询治疗方式
118,E8239900002046021,我现在着急找钱。你大概给我说，然后我去找钱。,咨询价格
119,E8239900002055020,哪里去找,无
