句子,标签
这样我看看时间，，然后电话或者微信联系,O O O O O O O O O O O O O O O O O O O
这样吧，你平时使用QQ或者微信呢，我添加您，您过来的时候，再微信上跟我说，我再帮你安排，您看可以吧不用了！！谢谢！！我来的时候再预约！,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
或发炎阴茎包皮是否有硬触感.称硬下疳.有的出现火山口状溃疡面.,O B_symptom I_symptom B_part I_part B_part I_part O O O B_symptom I_symptom I_symptom O O B_symptom I_symptom I_symptom O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O
也是我的微信你可以记下。,O O O O O O O O O O O O
避免出现交叉传染。,O O O O O O O O O
附近没地铁,O O O O O
我为什么会不舒服啊根据以上描述结合咱们临床经验来看，目前不排除是有盆腔炎宫颈炎,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom B_symptom I_symptom I_symptom
怎样能使阴径曾大，,O O O O B_part I_part O O O
平时单项的激素检查都是240元现在有这个检查优惠肯定是比较实惠的,O O O O O O O O O O O B_price I_price I_price I_price O O O O O O O O O O O O O O O O O
那这样吧，我这边给你申请专家号，申请预约后检查费用只要61元，手术费用跟具你的检查结果，一般像你这样的一二百元左右的。我现在还在外面这样你先给我保密我有时间再过来,O O O O O O O O O O O O O O O O O O O O O O O O O O O B_price I_price I_price O O O O O O O O O O O O O O O O O O O O O B_price I_price I_price I_price O O O O O O O O O O O O O O O O O O O O O O O O O O
怎么回事，以前没有！,O O O O O O O O O O
戒掉手淫能治疗早泄吗,O O B_cause I_cause O O O B_symptom I_symptom O
多少钱检查身体,O O O O O O O
我给您去个电话吧,O O O O O O O O
微信1791387818加你了看的了吗,O O O O O O O O O O O O O O O O O O O
做手术大概需要多少钱？,O O O O O O O O O O O
这样吧，你平时使用QQ还是微信呢，我添加你，详细的给你说下治疗方式以及注意事项，对你一定有帮助的微信,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
请问多久射精正常,O O O O B_physiology I_physiology O O
去年下半年发现时间越来越短,B_datetime I_datetime I_datetime I_datetime I_datetime O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
您想要调理好首先需要检查确诊清楚具体是什么原因,O O O O O O O O O O O O O O O O O O O O O O O
几年了恩，出现这个情况有到医院检查看诊过吗？,B_datetime I_datetime O O O O O O O O O O O O O O O O O O O O
男，27岁，原来年少时手淫导致早泄，后面做“阴茎切断术”导致阳痿，能否治疗？,O O B_age I_age I_age O O O O O O B_cause I_cause O O B_symptom I_symptom O O O O O B_surgery I_surgery I_surgery I_surgery I_surgery O O O B_symptom I_symptom O O O O O O
屁股也湿,B_symptom I_symptom I_symptom I_symptom
你们啥时候不忙你是提前预约的，过来是可以优先就诊的，,O O O O O O O O O O O O O O O O O O O O O O O O O O
请问11厘米正常吗,O O O O O O O O O
可以,O O
有药物治疗,O O O O O
你一般看好这方面能花多少钱看好具体费用是根据您现在引起的原因,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
检查合适手术，没有副作用，是在考虑什么问题呢？,O O O O O O O O O O O O O O O O O O O O O O O
嗯这边为你安排在9-10点可以吗？平时有没有使用QQ呢，我添加你，方便咨询了解，,O O O O O O O O B_datetime I_datetime I_datetime I_datetime I_datetime O O O O O O O O O O O O O O O O O O O O O O O O O O O
很贵的嘛,O O O O
你好，有什么需要咨询的请讲,O O O O O O O O O O O O O
咱么一套的检查费用是多少,O O O O O O O O O O O O
地方药店吃点什么药不行？,O O O O O O O O O O O O
你多大年纪，这个情况多长时间了65岁才有这个情况。已有半年了,O O O O O O O O O O O O O O O B_age I_age O O O O O O O O O O B_datetime I_datetime O
半年前有过一次吧,B_datetime I_datetime I_datetime O O B_frequency I_frequency O
哪一站下车？,O O O O O O
我好预备费用,O O O O O O
"请问是预约挂号呢,还是疾病咨询?睾丸旁边有一个根筋",O O O O O O O O O O O O O O O O B_part I_part O O B_symptom I_symptom I_symptom I_symptom I_symptom
路线怎么走呀,O O O O O O
以前是小疙瘩，疙瘩好几年了，前两月出现疙瘩上面长的像猴子东西,O O O B_symptom I_symptom I_symptom O B_symptom I_symptom B_datetime I_datetime I_datetime O O B_datetime I_datetime I_datetime O O B_symptom I_symptom O O O O O O O O O
做了就能走的那种这样吧，你平时使用QQ还是微信呢，我添加你，给详细的说下包皮术后价格和注意事项，好吧,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_surgery I_surgery O O O O O O O O O O O O
所以有点不敢做,O O O O B_emotion I_emotion O
这样吧，您可以先加上我的微信，一是方便您日后的咨询，二是方便您联系我帮您申请预约优惠我的微信是18942624937,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
这是啥原因会出现有味儿,O O O O O O O O B_symptom I_symptom I_symptom
你好！我的睾丸被攥拉以后总觉得屁股里酸痛，我怀疑输精管被拽坏了，这个可以检查出来吗,O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O
嗯要不您加我的微信我的微信是17752315401好的，记下了，这两天就来找你，谢谢。,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
勃起硬度差，或者勃起很快又疲软了吗,B_symptom I_symptom I_symptom I_symptom I_symptom O O O B_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom O O
本身包皮长长时间的包裹鬼头，是很容易滋生细菌，藏污纳垢引起感染的，包皮长也是诱发早泄的原因之一，，做手术还是有好处的,O O B_symptom I_symptom I_symptom O O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom O O O O B_symptom I_symptom O O O O O O O O O O O O O O O O
你目前是在河北吗,O O O O O B_address I_address O
害怕怀孕了,B_emotion I_emotion B_physiology I_physiology O
我害怕他转然给我所以害怕,O B_emotion I_emotion O O O O O O O B_emotion I_emotion
是否有包皮过长呢？那该怎么治疗,O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O
食物可以吃什么,O O O O O O O
就是和女朋友在一起想要做爱的时候，蓬勃起来还没有放进去就软了，这是什么病？,O O O O O O O O O O O B_physiology I_physiology O O O O B_physiology I_physiology O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O
我看您打字不方便,O O O O O O O O
我现在在北京呢，怎么过去治疗,O O O O B_address I_address O O O O O O O O
我最近性欲有点强,O O O B_symptom I_symptom I_symptom I_symptom I_symptom
要是鲜红色那就麻烦了,O O O O O O O O O O
而且比较频繁,O O B_symptom I_symptom I_symptom I_symptom
避免大厅叙述病情的尴尬,O O O O O O O O O O O
尿特多是怎么回事男性女性呢？多大岁数了？,B_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O
有，一周两三次,O O B_frequency I_frequency I_frequency I_frequency I_frequency
B超检查的只是子宫以及附件的情况的，咱们现在有出血需要做个阴道镜的检查看看阴道，宫颈方面是否有异常,B_check I_check O O O O O B_part I_part O O B_part I_part O O O O O O O O O B_symptom I_symptom I_symptom O O O O B_check I_check I_check O O O O O B_part I_part O B_part I_part O O O O O O O
这样的病情多吗,O O O O O O O
性功能怎么样，是否也有明显的下降呢,O O O O O O O O O O O O O O B_symptom I_symptom O
我在顺义区座几号线,O O B_address I_address I_address O O O O
恩，疙瘩是单个的还是多个的？现在有出现增大增多的情况吗？,O O B_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O
恩你年前照的单子你到现在也没有进行取环吗因为家人住院耽误了，现在刚腾出时间来着手考虑这个事,O O O O O O O O O O O O O O O O O B_surgery I_surgery O O O O O O O O O O O O O O O O O O O O O O O O O O
如果您不方便打字，留下你QQ或者微信，我添加你，或者加我微信：13778154624,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
和阴茎血流量不足。有道理,O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O
你直接说整么治疗吧,O O O O O O O O O
你的意思不就是去你医院检查一下吗,O O O O O O O O O O O O O O O O
女人高潮是什么,O O B_physiology I_physiology O O O
多久有结果3个小时应该有了吧,O O O O O B_datetime I_datetime I_datetime I_datetime O O O O O
没有咱们多大年龄了呢，目前有确诊是包皮过长还是包茎了吗？,O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O B_symptom I_symptom O O O
频繁手淫有,B_cause I_cause I_cause I_cause O
"请问是预约挂号呢,还是疾病咨询?绵阳博大医院，有什么需要帮助的吗",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
是肾原因吗？,O B_part O O O O
起初没太在意,O O O O O O
我知道了13778154624我的微信，你可以添加我,O O O O O O O O O O O O O O O O O O O O O O O O O O
怎么治疗呀，，吃药吗,O O O O O O O O O O
在生殖器官上今天好像又长了两个，,O B_part I_part I_part I_part O B_datetime I_datetime O O O B_symptom I_symptom I_symptom I_symptom O
嗯，因为病症已经出现了，如果不管的话，也不会自己恢复过来的咱们出现这个情况之后有去医院检查过吗？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
怎么麻烦,O O O O
医生我这病几天就不用换药了,O O O O O O O O O O O O O
久坐是工作原因，性生活一周一次吧,B_cause I_cause O O O O O O B_physiology I_physiology I_physiology B_frequency I_frequency I_frequency I_frequency O
博起软40,B_symptom I_symptom I_symptom O O
性生活能达到五十分钟左右么！,B_physiology I_physiology I_physiology O O O B_datetime I_datetime I_datetime I_datetime O O O O
我是遇到什么问题了呢，请讲,O O O O O O O O O O O O O
现在是五天一次,O O O B_frequency I_frequency I_frequency I_frequency
右侧睾丸肿胀疼痛，精子成水状。，射精会阴车疼痛。请问是什么原因,O O B_symptom I_symptom I_symptom I_symptom B_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom I_symptom O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O
