,uuid,sentence,sentence2,label
2,cb057922-1bf8-11ea-818b-e0d55e7e3b80,龟头有红点怎么回事,"龟头有三个红点,还脱皮",0
3,a3dbf420-2dcd-11ea-a3c8-e0d55e7e3b80,你好医生，射精快怎么回事啊？,你好射精无力是怎么回事,0
6,c9f156bf-1bf8-11ea-89ab-e0d55e7e3b80,没多久，一个多月,没多久呢,0
9,a3dba5df-2dcd-11ea-9ac3-e0d55e7e3b80,那可以吃什么药,那吃什么药阿,1
10,a411d7dc-2dcd-11ea-8fb0-e0d55e7e3b80,那他是什么原因导致的？哪边,什么引起的啊?,1
11,a3ded83f-2dcd-11ea-be2a-e0d55e7e3b80,主要是什么原因导致的。,这是是什么原因,1
12,c9f3c61e-1bf8-11ea-b4a8-e0d55e7e3b80,如果要做手术是多少钱？,对，如果是做手术是多少钱？,1
13,a3dd2bd5-2dcd-11ea-9eb2-e0d55e7e3b80,阳痿早泄可以治？,那是阳痿吗,0
15,a3db312c-2dcd-11ea-a9ac-e0d55e7e3b80,有什么好的药物可以治疗的吗？,有什么快速的治疗药物吗,1
17,a3dcdd9d-2dcd-11ea-b2a3-e0d55e7e3b80,用什么药吧？,什么药可以擦,0
26,c9f412e1-1bf8-11ea-a774-e0d55e7e3b80,刚做过包皮手术,做了包皮手术以后,0
32,a3dbcd20-2dcd-11ea-b331-e0d55e7e3b80,阴茎海绵体受损咋啊恢复,是不是阴茎海绵体受损,0
33,a3dc68b5-2dcd-11ea-88bc-e0d55e7e3b80,您好，在不,您好 请问有医生在吗,1
34,c9f43b6e-1bf8-11ea-bc76-e0d55e7e3b80,恢复前多久不可以性生活呢,术后多长时间可以性生活,0
35,cb05c763-1bf8-11ea-a642-e0d55e7e3b80,这个要吃什么药,这个应该吃什么药,1
37,a3ddc74c-2dcd-11ea-b68f-e0d55e7e3b80,去医院都检查什么呀,要去医院做些什么检查,0
39,a3ddee23-2dcd-11ea-bf1d-e0d55e7e3b80,如果去医院检查挂什么课,我去医院该看什么科，做什么检查,0
40,a3ded81c-2dcd-11ea-b5f3-e0d55e7e3b80,不勃起怎么回事啊,我的不勃起怎么办,0
43,a3dcb6e4-2dcd-11ea-9530-e0d55e7e3b80,有时候10-20分钟 有时候几分钟很快,有时候久有时候10几分钟,1
44,a3ddee77-2dcd-11ea-a56b-e0d55e7e3b80,延长增粗能一起做吗,延长增粗一起呢？能同时做吗？,1
45,a3dcdd56-2dcd-11ea-a073-e0d55e7e3b80,治疗大概多久可以恢复,那治疗期大概是多久呢,1
46,a3da2089-2dcd-11ea-9b25-e0d55e7e3b80,你们用的是什么方式啊？,你们有什么方法哪,1
48,c9efa96b-1bf8-11ea-b859-e0d55e7e3b80,这不是正常吗,那正常么,1
49,a3dbf3bf-2dcd-11ea-8eef-e0d55e7e3b80,什么原因长的,因为什么原因呢,0
53,a3dd5282-2dcd-11ea-b8c1-e0d55e7e3b80,800吗？,800能下来吗,1
54,cb05a08d-1bf8-11ea-a2a3-e0d55e7e3b80,要多久时间呢,多长时间？,1
55,c9f4d67b-1bf8-11ea-8634-e0d55e7e3b80,不申请多少钱？,不预约多少钱？,0
56,a3da953a-2dcd-11ea-b306-e0d55e7e3b80,哦，那怎么办了,这个得怎么办啊？,1
57,cb05c6b7-1bf8-11ea-bbe9-e0d55e7e3b80,可以啊！,不可以的,0
58,a3dd2b2b-2dcd-11ea-be3b-e0d55e7e3b80,那应该怎么治疗，,请问，应该怎么治疗。,1
65,a3dc6874-2dcd-11ea-a4da-e0d55e7e3b80,怎么治疗好的,我感觉也是，怎么治疗,1
66,c9f461cb-1bf8-11ea-b9e6-e0d55e7e3b80,这手术多少钱,做那个手术多少钱,1
68,c9f301f1-1bf8-11ea-90f8-e0d55e7e3b80,一般需要多少钱,需要花多少钱了,1
70,c9ef8208-1bf8-11ea-9e61-e0d55e7e3b80,有什么办法吗。,这个有什么办法吗,1
71,a3df2634-2dcd-11ea-83d3-e0d55e7e3b80,啥意思一声,那啥意思？,1
80,c9efd02c-1bf8-11ea-afa3-e0d55e7e3b80,喝中药调理吗？,和中药吗,1
82,c9f0e202-1bf8-11ea-8cd0-e0d55e7e3b80,什么原因造成的,嗯，什么原因呀,1
91,a3dc1a8c-2dcd-11ea-8173-e0d55e7e3b80,先做包皮手术可以吗,包皮手术 好做吗,0
92,a3dd04bd-2dcd-11ea-8b95-e0d55e7e3b80,这叫早泄吗,什么叫早泄了,0
94,c9f4fd2b-1bf8-11ea-9525-e0d55e7e3b80,那需要多少钱治疗,那大概需要多少钱治疗,1
98,a3dabc6d-2dcd-11ea-aa51-e0d55e7e3b80,怎么办吓,那咋办?,1
99,a3de3bc2-2dcd-11ea-ac76-e0d55e7e3b80,是什么引起的那,那是什么原因引起的囊,1
