sentence1,sentence2,label
龟头有红点怎么回事,龟头有三个红点，还脱皮,0
你好医生，射精快怎么回事啊？,你好射精无力是怎么回事,0
没多久，一个多月,没多久呢,0
那可以吃什么药,那吃什么药阿,1
那他是什么原因导致的？哪边,什么引起的啊?,1
主要是什么原因导致的。,这是是什么原因,1
如果要做手术是多少钱？,对，如果是做手术是多少钱？,1
阳痿早泄可以治？,那是阳痿吗,0
有什么好的药物可以治疗的吗？,有什么快速的治疗药物吗,1
用什么药吧？,什么药可以擦,0
刚做过包皮手术,做了包皮手术以后,0
阴茎海绵体受损咋啊恢复,是不是阴茎海绵体受损,0
您好，在不,您好 请问有医生在吗,1
恢复前多久不可以性生活呢,术后多长时间可以性生活,0
这个要吃什么药,这个应该吃什么药,1
去医院都检查什么呀,要去医院做些什么检查,0
如果去医院检查挂什么课,我去医院该看什么科，做什么检查,0
不勃起怎么回事啊,我的不勃起怎么办,0
有时候10-20分钟 有时候几分钟很快,有时候久有时候10几分钟,1
延长增粗能一起做吗,延长增粗一起呢？能同时做吗？,1
治疗大概多久可以恢复,那治疗期大概是多久呢,1
你们用的是什么方式啊？,你们有什么方法哪,1
这不是正常吗,那正常么,1
瘦脸针是怎么做呢,瘦脸针怎么购买,0
目前最好的填充是什么？,什么填充最好,1
60多岁女,嗯，60多岁，,0
我妈妈52,赵，52岁,0
小硬币大小,小鸡蛋大小,0
哪种适合肿泡眼,适合肿眼泡的,1
不能化妆吗？,是不是不能化妆了,0
好的有时间我会过来的,有时间我会去你们院,1
那校正呢？,可以校正吗,1
好的，谢谢。,好的谢谢您,1
我没收到验证,没有收到验证哎,1
可修复？,可修复也可以的,0
钴铬烤瓷牙装一颗多少钱,嗯，贵金属烤瓷牙多少钱一颗？,0
活动截止到哪天,这个活动截止到哪天,1
地址是哪个啊,嗯！地址在哪里,1
24岁，有两三年了,24了，有一两年了,1
我想了解一下收费情况,费用各方面情况能了解一下嘛,1
超频秒是啥,超频刀是什么,0
短信已收到，谢谢,好 我收到短信了,1
价位都有多少的？,价位多少？有活动吗？,0
冰点还是激光好,是普通激光还是冰点还是？,0
这样啊  没事,这样吧！完了再说,0
休息好了也有,你们周末休息嘛？,0
不是2880吗,2880？,1
去除眼袋需多少钱？,做眼袋术需多少钱,1
瘦脸针是888？衡力的吗？,衡力888的,0
你好，请问美白针多少钱,你好 请问有美白针么,0
手臂和背部抽脂多少钱,吸脂手臂多少钱？,0
怕手术有风险吧,手术有一定风险吧？,1
26岁，脸部提拉多少钱可以做,26岁提拉多少钱可以做,1
去皮去脂,我想做全切去脂去皮,0
是直径吗,直径五毫米吧,0
做切眉多少钱啊,做个提眉术多少钱,0
身上长了很大的逗逗,身上长豆豆,1
处女膜修复要多少钱,阴道紧缩术要多少钱呢,0
没有松弛，32,22了吧 松弛吗？应该没有吧,0
成都华美,没有，在成都华美,1
眼袋特别重,眼袋特别严重,1
我想问一下开双眼皮的价位是多少,想问一下，开眼角加双眼皮手术多少费用,0
现在的聊天可以发吗,对啊对啊，现在聊天的这个,0
99元 包干吗,脱腋毛是99吗,0
加微信就算了，上面是你的手机号吗？我就这个手机号就好了,是的我手机号是微信,0
牙齿矫正多大年龄合适？,牙齿矫正年龄多大才最合适,1
您们医院在哪里，怎么走,您们店在哪里？,0
觉得好丑,就觉得很丑,1
伤害皮肤么,会损害皮肤嘛,1
我是想注射鼻子和下巴,做鼻子跟下巴,0
多少钱二颗,四颗牙多少钱,0
效果能撑多久,能撑多久,1
女士.20,女士.30,1
不能熬夜吗,比如说不能熬夜，,1
不好意思刚刚出去了,不好意思刚才有事出去了,1
去除雀斑样痣要多少钱,祛晒斑去掉多少钱,0
眼袋请问怎么整,眼袋是怎么去的？,1
不开刀去眼袋是怎么做,不开刀怎么祛眼袋呢,1
不是痘坑也不是痘印,有些不是痘坑,0
一次治疗大约需要多少钱,大约纹一次要多少钱,0
什么叫做半永久的,半永久是什么情,0
鼻综合大概是多少钱呢,鼻综合多少钱呀？,1
6000多起是啥,她去了6000,0
艾丽薇多少钱？,乔雅登多少钱,0
算了，再见。,算了吧！再见,1
牙神经之前就挑掉了,之前是把牙神经断掉了已经,1
牙齿矫正冰晶的多少钱,冰晶矫正多少钱,0
这里直接发就好了,你这里发就可以了,1
新人还有优惠吗,新人优惠,1
就埋线3800？,3800的是切开么？,0
[可爱][可爱][可爱][可爱][可爱][可爱][惊恐][惊恐][惊恐][色][汗][流泪][疑问][睡][色][调皮][调皮][微笑][大笑][委屈][害羞][尴尬][惊恐][撇嘴][难过][乖][偷笑][再见][再见][可爱][大哭][汗][流泪][流泪][疑问][色][微笑][惊恐][难过][撇嘴][惊恐][睡][流泪],[大哭][可爱][再见][偷笑][乖][调皮][调皮][调皮][色][睡][睡][疑问][流泪][流泪][汗][大哭][大哭][可爱][可爱][可爱][再见][乖][难过][流泪][晕][调皮][色][色],0
我上班呢没有休息等哪天请假了去,我现在上班没有休息,0
看你们写可以分期付款,你们做这个可以分期付款吗,0
是呢，哺乳期,哺乳期已经过了,0
云南华美美莱整形医院？,是美莱整形医院？,0
我说的是医疗卡也可以刷？,可以刷医保卡？,1
请问达拉斯隆鼻是怎样的：也是放假体吗,达拉斯隆鼻是用什么材料？,0
具体不知道是哪款,不知道哪款，这么久都忘了，,1
我在过两天回贵阳就去确定,过几天回贵阳,0
38岁，没去过,女29没去过,0
有空会在,那时候有空吗,0
听说要全麻,全麻？局麻？,0
全脸祛斑,全脸祛斑多少钱,0
有没有药可以去除的吗,咋么可以去除,0
多少钱恢复时间多久？,多久恢复，多少钱,1
你好，请问点一颗痣需要多少钱？,请问多少钱一颗,0
就是觉得不够双,就是不够双,1
下午我早上来不了,晚上了也看不了,0
阴道能紧缩吗,有没有紧缩阴道的？,0
给你发错了,哦，对不起，发错了。,1
但还没达到我想要的效果,达不到我想要的效果,1
打了会不会吃不了硬的东西,会吃不了东西吗,1
做的不够好吧，就自己不满意,做了不够大，不满意,0
就在近期,近期没打算做。,0
去疤，是一次就可以的,三次就可以了吗,0
21岁啦,21，学生,0
我想知道一般多少钱,多少钱啊，我就想知道,1
我问你包牙齿多少钱,装牙齿要多少钱啊谢谢,0
这是不是小手术？,可不可以不做手术手术,0
谢谢了下次又不一定了,好的，那我等下次吧，谢谢啦,0
应该是美容院,去美容院，美容院说的,0
闭口粉刺在脸上,那种是闭口粉刺吧,0
先问问瞧,所以就问问你,1
费用高承受不起,费用太高了，承受不起。,1
大概要打多少针,嗯.好吧，大概费用多少到多少,0
松驰型去眼袋须多少费用,做 去 眼袋 的 费用 要 多少 ？,0
【脱毛99元还赚红包】: 为什么我分享买了红包没有到账,【脱毛99元还赚红包】: 我分享脱毛的  怎么我朋友买了  我这没红包,0
我是在医疗美容学习的,医疗美容,0
我妈妈52,女，52,1
24 肿眼泡,24单纯肿眼泡,1
蛀牙 拔了,蛀牙，之后拔了,1
肌肉和脂肪吧，,脂肪的堆积,0
小周，22,22，小唐,1
陶瓷矫正要多少钱？,你们这儿正畸牙齿，陶瓷自锁矫正多少钱？,0
我的下颌骨宽的整形需要多少钱呢,整形需要花多少钱,0
眼周围有斑,眼周围有黑青色,0
你好，肚子抽脂费用多少,你好，大腿抽脂费用多少,0
24岁矫正算晚吗,24岁矫正牙齿算晚吗,0
是无痛的吗？,真的无痛吗,1
雀斑比较多，黄褐斑有一点点,还有点真皮斑，黄褐斑,0
年龄二十三,年龄二十二,1
看见特价的,？特价？,0
有几种线？,有几种可能啊,0
