sentence1,sentence2,label
都有什么针对性的检查,检查都检查什么啊,0
两个子宫能怀孕吗, 两个子宫可以怀孕吗,1
我想咨询下额角,我想咨询下解决办法,0
要怎么治疗呢,要怎么治疗？,1
埋线双眼皮能保持多久？,一支美白针能保持多久,0
有什么办法治疗肾淡,有办法治疗吗？,0
性激素六项？,性激素六项价格,0
请问洗纹身可以吗,可以洗纹身  是吗,1
怀孕多久有反应啊,反应啊,0
这个会不会传染？,会不会遗传？会不会传染？,0
去黑眼圈有限吗,去黑眼圈小妙招摆脱熊猫眼,0
无阴道无子宫,说是无子宫无阴道,1
药物能治疗吗,能药物治疗吗,1
请问无子宫无阴道可以治疗吗,无痛感,0
你是前台还是医生,你是医生还是？,0
是中医还是西医治疗？,你们是中医治疗还是西医治疗,1
我该怎么办。,医生我该怎么办？,1
过敏性紫殿有什么症状,肾病是什么症状,0
睾丸鞘膜积液需要手术吗,鞘膜积液？,0
月经一个月两次是什么原因,一个月来两次月经是什么原因,1
这个怎么能治疗啊, 这个怎么治疗啊,1
自体脂肪可以维持多久？, 自体脂肪能维持多久,1
有便血怎么回事, 便血怎么回事,1
外阴瘙痒。用什么药？,外阴瘙痒用什么药好使,1
吃点啥药好,吃点啥药？,1
吃点什么药？,可以吃点什么药,1
我脚踝水肿，眼皮也水肿怎么回事,我踝关节水肿,0
胎记有危害吗,会有什么危害吗？,0
试纸多久能测出来, 怀孕多久能测出来试纸,1
一颗多少钱, 多少钱一颗,1
顺义中医院可以药流吗？,可以药流吗？,0
检查需要几百,检查都做什么检查,0
这个要怎么治疗,这个要怎么治疗呢,1
吃的药是什么药,请问早泄吃什么药，？,0
onezxc-,同济-安阳,0
一加严重吗,脂蛋白a707严重吗,0
那怎么治疗了,那怎么治疗肌酐？,0
还是什么吃药,是吃药？还是手术？,0
有阴唇肥大,请问阴唇肥大,1
白带多是怎么回事？,白带多怎么回事，,1
我的龟头上有小点点,龟头上有白色点点,0
这个会不会怀孕,会不会以后不会怀孕了？,0
有几年,几年了,1
过度手淫,手淫过度会,0
在河南汝州,在的吗,0
怀孕多久可以药流, 请问怀孕多久可以药流,1
这个什么引起的呢,这个是怎么引起的吗,1
流产多久可以洗头发,怀孕多久可以流产,0
月经不调怎么调理？,月经不调，怎么调理,1
外阴痒是怎么回事啊？,外阴痒有包怎么回事,0
有永久脱毛的吗,880是永久的吗,0
血管瘤治疗挂什么科,血管瘤去医院挂什么科,1
满身红点,红点,0
肾病综合征多久能治愈,肾病综合征能治愈,0
您们在朝阳区哪里,在哪里地址,0
影响发育吗,包皮影响发育吗,0
洗纹身大概要多少钱,洗纹身大概多少钱,1
吃药还是手术。,吃药还是手术？,1
可以修复处女膜吗,请问处女膜修复可以做吗,0
‍人工‍受孕‍唔要‍住院‍吗,结扎要住院吗？,0
不愿看,看外科吗,0
肌酐11630怎么办,多囊肾7.0怎么办,0
白带青黄色的,黄色有,0
凸起凸起的,蚯蚓般凸起,0
人造子宫有吗,可以人造子宫吗,0
需要吃点什么药呢,我需要吃点什么药,1
体外受精会不会怀孕,强奸了小女生会不会怀孕。,0
大慨多久能恢复, 多久能恢复,1
你们的瘦脸针什么牌子的, 你们是什么牌子瘦脸针,1
要怎么治疗,要怎么治疗？,1
你们可以洗纹身吗,纹身可以洗吗,0
我也早泄好治吗,好治吗\,0
脱毛是永久的吗,3000永久的？,0
有治疗多囊肾方法吗,有治疗方法吗？,0
外阴痒用什么药,外阴痒有什么药么？,1
请问有bbl光子嫩肤吗,光子嫩肤的副作用,0
石女是？, 石女是？,1
有什么药物治疗吗？,药物可以治疗吗,0
雀斑可以取到吗,雀斑可以怎么治疗,0
如何关注,如何治疗肾衰竭,0
那不透咋办呢,皿压高咋办,0
悬架好不好治疗？,好不好,0
睾丸左边疼头一大一小怎么回事,睾丸一大一小有没有问题,0
超冰是冰点脱毛吗,是冰点脱毛吗 ,0
贴双皮贴,从来不贴,0
我想咨询个病,是的  我想咨询一下,1
睾丸怎么一大一小,睾丸一大一小，怎么回事,1
有什么症状,肾病综合征有什么症状,0
阴囊潮湿是什么原因啊, 阴囊潮湿是什么原因,1
能治好,肾病综合征能治好,0
用什么药物,药物用什么呢,1
鼻子鼻梁塌,鼻梁塌怎么办啊,0
 埋线双眼皮级别,埋线双眼皮 ,0
如何清除,用微信聊如何,0
就打了消炎针,打消炎针？,0
BV检测是什么呀？, BV检测，是什么意思？,1
过敏性紫癫能治好吗,肌酐500能治好吗,0
正在做检查,没去做检查,0
有人说是阳痿,现在有人吗,0
包皮是长的,一溜长的,0
肌酐二百严重吗,紫癫病严重吗,0
有什么方法 治疗,什么治疗方法？,1
299绣眉,请问绣眉好多钱,0
好多年,透析了，好多年了,0
是都说是珍珠疹,是什么珍珠疹么,0
肾病综合征可以治疗吗？,肾串可以治疗吗,0
请问先天性无子宫还能治疗吗,这个先天性无子宫可以治疗吗,1
胎记多大可以治疗,多大治疗好些,0
过敏性紫癜用什么方法治疗好,用什么方法治疗,0
 大概多久恢复,大概多久能能恢复,1
高原心肺病好多年了,好多年了,0
能治吗？,家族史能治吗？,0
系统性红斑狼疮可以治好吗？,红斑狼疮可以治好吗？,0
那要怎么除去,那要怎么治疗，,1
肾衰竭是什么症状,血压低有什么症状,0
住院输水吗,住院能降肌肝吗,0
子宫小影响怀孕么,子宫小影响怀孕吗,1
肚子左边疼怎么回事, 肚子左边疼是怎么回事,1
有痣疮不重,痣疮,1
BV±,还有BV检查,0
阴囊会潮湿,阴囊潮湿是,0
治疗阳痿早泄需要吃什么药,阳痿早泄请问吃什么药,1
透析痛苦吗,痛苦纠结,0
激光不是永久的吗,这个不是永久脱毛的吗,0
水光针副作用是什么,水光针有什么,0
验孕棒一深一浅是什么意思啊,验孕棒一浅一深什么意思？,1
