uuid,sentence,sentence2,label
f5b150e3-1bfa-11ea-8f2f-e0d55e7e3b80,是7岁的小孩,是7岁小孩,1
f5b988b0-1bfa-11ea-8887-e0d55e7e3b80,有   手上  脸上,背上手上脸上,0
f5af5682-1bfa-11ea-a245-e0d55e7e3b80,是的，还很大一块,不不不  挺大一块,1
f5b21391-1bfa-11ea-a8b3-e0d55e7e3b80,没有那些好像,好像没有，,1
f5b56b90-1bfa-11ea-8705-e0d55e7e3b80,可以检查吧,也没检查,0
f5b51d97-1bfa-11ea-9f60-e0d55e7e3b80,没有，不清楚,没有呢，不确定,1
f5b19f1f-1bfa-11ea-8c8f-e0d55e7e3b80,旁边是白色的,颜色白色,0
f5ba724d-1bfa-11ea-bf52-e0d55e7e3b80,很光滑，没发现脱落什么,光滑的，没有皮屑的情况,0
f5b0b564-1bfa-11ea-a106-e0d55e7e3b80,这是白癜风？,说我的是白癜风,0
f5afcb21-1bfa-11ea-a7d1-e0d55e7e3b80,我没找到怎么发照片,我也不知道怎么了发不了照片,1
f5ba723f-1bfa-11ea-b9bb-e0d55e7e3b80,不是我，今天我发现小孩肩上有几个小白点,今天刚发现宝宝头上有白点,0
f5b2d630-1bfa-11ea-b2e2-e0d55e7e3b80,有两三块 比绿豆黄豆都要大点,比黄豆小点,0
f5ba7289-1bfa-11ea-a926-e0d55e7e3b80,那应该怎么办？,那怎么办？,1
f5b6f119-1bfa-11ea-9bde-e0d55e7e3b80,面部，最近才发现,最近才发现,0
f5b28749-1bfa-11ea-acaf-e0d55e7e3b80,比硬币小,比硬币还要大点,1
4512bc75-1bfc-11ea-ad4b-e0d55e7e3b80,检查什么,病因检查，检查什么？,0
f5b5ba53-1bfa-11ea-9f3d-e0d55e7e3b80,就是一块白的又不痛又不痒,不是  就白色的  不痛不痒,1
f5b39979-1bfa-11ea-8005-e0d55e7e3b80,图片不能发吗,照片不能发,1
f5c06196-1bfa-11ea-b129-e0d55e7e3b80,现在长很多,今年又长了一些,1
f5b9af6f-1bfa-11ea-8fc7-e0d55e7e3b80,确诊在吃药,之前就是吃药好的,0
f5bfc593-1bfa-11ea-81fa-e0d55e7e3b80,以前没有这么多,以前没有那么多，大,0
f5b19f05-1bfa-11ea-a847-e0d55e7e3b80,大的还要大点,比较大了,0
f5b06726-1bfa-11ea-84fd-e0d55e7e3b80,不大，就是有点多,不大，小点点,0
f5babf22-1bfa-11ea-9bd2-e0d55e7e3b80,以前也有过   但是去医院检查过  医生说不是白癜风  之后就治好了,今天去医院 医生说是白斑,0
f5b6a443-1bfa-11ea-91bf-e0d55e7e3b80,嗯嗯。 好滴,嗯。。刚睡。,0
f5b40e38-1bfa-11ea-a5f6-e0d55e7e3b80,在你们医院可以治吗,你们是那个医院,0
f5b850cf-1bfa-11ea-9d7c-e0d55e7e3b80,色素减退可以治疗吗？,色素减退斑,0
f5bd7d74-1bfa-11ea-83fd-e0d55e7e3b80,可以吗？谢谢,好，谢谢，,0
f5b0674a-1bfa-11ea-8df5-e0d55e7e3b80,怎么治疗呢,怎么治疗呢！医生,1
f5b6cb48-1bfa-11ea-abec-e0d55e7e3b80,可能是白癜风吗？,不是白癜风吧,0
f5bdca24-1bfa-11ea-a1d9-e0d55e7e3b80,我不是我是不是,我不是不是,1
f5c03978-1bfa-11ea-ae24-e0d55e7e3b80,请问能不能治好,请问能够治好吗？,1
f5bba9fd-1bfa-11ea-a7f7-e0d55e7e3b80,嗯等一下,嗯，那你等一下,1
f5bfc5cb-1bfa-11ea-b8f2-e0d55e7e3b80,什么症状,他那个是什么症状,0
f5b0670b-1bfa-11ea-aae0-e0d55e7e3b80,医生说估计是白癜风,他说有可能是白癜风,1
f5b8eccb-1bfa-11ea-9913-e0d55e7e3b80,比黄豆小一点吧,比黄豆大一点,1
f5ba24ab-1bfa-11ea-b218-e0d55e7e3b80,好像发不了照片吧,好像没法发照片,1
f5b93ab5-1bfa-11ea-9a03-e0d55e7e3b80,好几个月了     也治疗过,治疗1个月了,0
f5b3e737-1bfa-11ea-9da9-e0d55e7e3b80,嗯，是我本人,嗯，是本人,1
f5b51dc2-1bfa-11ea-9e28-e0d55e7e3b80,这个图片怎么发,这个发照片怎么发,1
f5b7dc17-1bfa-11ea-b43e-e0d55e7e3b80,我想问一下要花多少钱,哦我想问一下贵吗一般花多少钱,0
f5be1941-1bfa-11ea-92e0-e0d55e7e3b80,不是我，是我的女儿,是我自己，不是孩子,0
f5b0dbeb-1bfa-11ea-9e42-e0d55e7e3b80,比皮肤白稍微白点,比正常肤稍微白点,1
f5b19ef9-1bfa-11ea-9d59-e0d55e7e3b80,像一般多久能好,一般要治疗多久,0
f5af5669-1bfa-11ea-b1cf-e0d55e7e3b80,应该怎么治疗,怎么治疗！,1
f5ba724a-1bfa-11ea-af25-e0d55e7e3b80,怎么没法发图片呢？,我怎么不能拍照啊,1
f5b19ef0-1bfa-11ea-b768-e0d55e7e3b80,手上身体部位,腰部，颈部等,0
f5b2d618-1bfa-11ea-be37-e0d55e7e3b80,请问擦什么药,是什么呢,0
45130a56-1bfc-11ea-a565-e0d55e7e3b80,不知道这是不是,这个不知道是不是,1
