sentence,entity,standard_entity
戒除手淫,手淫,手淫
您是做什么工作的 有久坐 吸烟 喝酒 手淫的习惯吗,久坐吸烟,久坐
另外像一些公共场所接触也会引起这个情况。这方面的病菌种类比较多，不是单一引起的，像一些侵蚀性比较强、比较顽固的，清洗是没有任何作用的,一些公共场所接触,出入公共场所
嗯 那你这是属于外界损伤造成的系带撕裂的情况了小伙子,外界损伤,外伤
熬夜 大量饮酒 好辛辣刺激食物 久坐久站的习惯有么,熬夜大量饮酒好辛辣刺激食物久坐,熬夜
熬夜 偶尔,熬夜偶尔,熬夜
注意卫生，性生活不纵欲和不禁欲，少手淫自慰。,少手淫自慰,手淫
初步判断可能是尖锐湿疣，你近期有没有跟陌生女性发生过关系,跟陌生女性发生过关系,一夜情
首先这个情况的话要考虑是由于包皮过长长时间包裹长期有炎症刺激导致的 。再一个就考虑是长期手淫摩擦龟头，导致的龟头比较敏感,长期手淫摩擦龟头,手淫
你们这性欲挺旺盛的了，像频繁的性交或者手淫，容易诱发性神经的损伤和生殖腺体的过度充血炎症，从而诱发早泄的症状出现,频繁的性交,性生活频繁
你是不是有多年的手淫史？,多年的手淫史,手淫
"出现这个症状之前  有过不洁的性接触  接触过公共场所吗?比如浴池,洗浴中心,宾馆等",不洁的性接触 接触过公共场所,不洁性生活
性生活过频 性生活被迫中断 久坐 长时间开车  或者直接感染导致的前列腺,性生活被迫中断久坐,性接触
像咱们男性吸烟 过度饮酒 骑自行车 骑马 过度手淫也是直接导致前列腺的诱发病因了,吸烟过度饮酒,抽烟
恩  这个多是存在尿道内感染造成或生殖腺体炎症等导致的,尿道内感染,尿路感染
是不是总有手淫史？,总有手淫,手淫
恩，平时有久坐 熬夜 大量饮酒 好吃辛辣刺激食物 频繁手淫或者性生活的习惯吗？,熬夜大量饮酒好吃辛辣刺激食物频繁手淫,熬夜
恩，像你的情况是有考虑前列腺出现问题，前列腺疾病和生活习惯有很大关系，最主要的如久坐，长期烟酒刺激，过食辛辣，房事过于频繁等，都可能引起前列腺疾病,长期烟酒,喝酒
固定，只是月经过后三天过得性生活,性生活,性接触
手淫，熬夜,熬夜,熬夜
熬夜,熬夜,熬夜
长坐的原因吧我估计,长坐,久坐
没有不洁性接触,不洁性接触,不洁性生活
我是一位大货车驾驶员经常熬夜吸烟还有最近心里压力很大能此造成影响吗？,心里压力很大,压力大
导致男性性欲下降的原因有很多 比方说夫妻感情不和情绪因素 慢性的前列腺炎 附睾炎、尿道炎 长期嗜酒  心理压力 不良的生活习惯都会导致,长期嗜酒 心理压力不良,喝酒
"这方面像性接触,手淫,洗浴,泡澡,接触一些公共设备都会导致的.",接触一些公共,出入公共场所
嗯 小伙子 之前有没有过频繁手淫史,频繁手淫史,手淫
药物有很多种  频繁性生活是原因  针对性治疗才会有效果   看病讲究对症,频繁性生活,性生活频繁
压力山大,压力山大,压力大
射精快属于早泄的症状  一般导致病因有手淫损伤   性激素异常   敏感度过高 前列腺炎症等导致,手淫损伤  性激素异常,外伤
比如性接触 公共场所物品 自身菌群紊乱都是会导致的 不排除你这传染性是很强的,性接触公共场所,性接触
自慰,自慰,手淫
∫有出现过浴室，泡过澡,泡过澡,出入公共场所
日常久坐久站 吸烟饮酒 骑行 憋尿 熬夜 频繁手淫. 食用辛辣食物的情况多不多？,久坐久站吸烟饮酒骑行,久坐
有没有久坐久站  长期熬夜 憋尿 经常大量吸烟饮酒的习惯？,憋尿经常大量吸烟,憋尿
引起这方面疾病的原因很多如:炎频繁手淫、包皮过长、忍精不射、长期骑车开车、久坐熬夜憋尿，过量饮酒辛辣食物刺激，性生活过频.临近组织部位有炎症，逆行上行感染等,过量饮酒辛辣食物,喝酒
因为今年工作压力大.每天工作量大.因为是送牛奶员工所以特别累,今年工作压力大,压力大
手淫过,手淫过,手淫
不知是不是因为心里压力过大造成的,心里压力过大,压力大
嗯 早泄这个多是一些龟头敏感受不了刺激  或是手淫海绵体损伤,手淫海绵体,手淫
那这哪行，如果是咱们生活作息不规律、手淫轻度损伤，一般不会这么急的出现症状，他都是有个慢性的刺激过程。,手淫轻度损伤,手淫
没有碰过陌生女性，洗过澡,洗过澡,出入公共场所
没有什么不洁性史,不洁性史,不洁性生活
平常有没有手淫,手淫,手淫
憋尿，喝酒，熬夜,熬夜,熬夜
感染，不洁接触后产生的感染，绝大多数都是病毒导致的,不洁接触后产,不洁性生活
熬夜多,熬夜多,熬夜
恩，那你这个就不排除是性生活中感染到病菌或病毒，刺激局部粘膜和腺体出现的,性生活中感染,性接触
嗯 小伙子 这十天内，性伴侣固定吗、有无和陌生人发生不洁性关系 或者是去桑拿、公共浴室（洗大池子）、住过宾馆等场所 ？,陌生人发生不洁性关系,一夜情
嗯 小伙子 这十天内，性伴侣固定吗、有无和陌生人发生不洁性关系 或者是去桑拿、公共浴室（洗大池子）、住过宾馆等场所 ？,去桑拿,出入公共场所
除了熬夜之外  最近射精快 和这些也是有直接关系的,熬夜之外,熬夜
去洗过澡,洗过澡,出入公共场所
像公共场所的间接接触，也都可能会导致交叉感染的,公共场所的间接接触,出入公共场所
之前有没有郭手淫的习惯呢？,郭手淫,手淫
引起这方面像是性生活 个人卫生习惯不注意 接触公共宾馆 浴池温泉 桑拿等公共场所,性生活个人卫生习惯不注意接触,性接触
那这种情况龟头神经存在敏感 ，有没有频繁性生活或者手淫，久坐久站  长期熬夜 经常大量吸烟饮酒的习惯,久坐久站  长期熬夜,久坐
恩，长期熬夜 大量饮酒的话，容易造成内分泌失调、阴茎供血这块出现不足，从而引起早泄和勃起障碍的问题。,长期熬夜大量饮酒,熬夜
这个情况咱们肯定是感染了，男性生殖器部位一般是不会出现感染的，多考虑是性生活交叉感染，另外像一些公共物品接触、卫生不好都可能会导致出现这个情况,像一些公共物品接触,出入公共场所
你为什么总熬夜,熬夜,熬夜
咱们男性生殖器部位一般是不会感染的，一旦出现感染主要考虑就是性生活交叉接触、使用一些公共场所病菌携带者使用的公共物品,使用一些公共场所,出入公共场所
咱们男性生殖器部位一般是不会感染的，一旦出现感染主要考虑就是性生活交叉接触、使用一些公共场所病菌携带者使用的公共物品,使用的公共物品,出入公共场所
没有女朋友 喜欢打飞机,打飞机,手淫
也不好说，有些手淫过高的现象，也会出现这种问题的,手淫过高,手淫
作息不规律  熬夜等情况是一个诱因，可能会导致内分泌紊乱等情况,作息不规律 熬夜,作息不规律
现在每天熬夜不喝水是不是这个原因,熬夜不喝水,熬夜
频繁手淫,频繁手淫,手淫
白天都没事儿 一到傍晚久坐就开始隐痛,傍晚久坐,久坐
我长时间的工作比较忙熬夜多,熬夜多,熬夜
平时有没有熬夜 久坐 大量喝酒 憋尿 手淫的习惯？,大量喝酒,喝酒
我包皮过长但是自己撸过来了，可是有点勒的难受，但是不痛，这种情况怎么办,撸过来,手淫
抽烟  经常熬夜到一两点钟,抽烟经常熬夜,抽烟
一般出现肿胀多是存在外伤或内部感染  和平常久坐 手淫  或性生活 酗酒等都有关系,性生活酗酒,性接触
烟草中含有的尼古丁会起到杀精作用，这个对男性生育是有影响的，如果有长期抽烟史的男性朋友，精子结果大多都是不健康，不利于受孕的,长期抽烟史,抽烟
平时生活习惯怎么样？有没有经常熬夜  久坐 熬夜 劳累 压力大 作息不调等,压力大作息不调,压力大
那吃什么药好呢。以前是房事多，打飞机,打飞机,手淫
没有久坐，前几年到是经常熬夜,熬夜,熬夜
恩，咱们之前有频繁性生活史是吧？,频繁性生活史,性生活频繁
平时咱们有熬夜，大量饮酒，精神压力，乏力，注意力不集中等情况吗？,精神压力,压力大
最近有没有经常熬夜、失眠、久坐久站，大量抽烟喝酒的情况？,大量抽烟,喝酒
恩，您有没有频繁手淫或者频繁性生活史  久坐久站  长期熬夜 经常大量吸烟饮酒的习惯？,长期熬夜经常大量吸烟,熬夜
男性经常出入足浴店，公共浴池，是不是跟这些有关,经常出入足浴店,出入公共场所
生活工作压力大 常熬夜  不喝酒,熬夜不喝酒,熬夜
没有不洁性生活,不洁性生活,不洁性生活
平时有没有熬夜 久坐  喝酒 憋尿 频繁性生活或手淫的习惯？,憋尿频繁性生活,憋尿
