sentence,entity,standard_entity
前列腺炎,前列腺炎,前列腺炎
早泄能治好吗,早泄,早泄
这跟肾虚没有任何关系,肾虚,肾虚
那就是属于包皮过长了,包皮过长,包皮过长
尖锐湿疣,尖锐湿疣,尖锐湿疣
勃起障碍,勃起障碍,勃起障碍
肾虚吃什么药好,肾虚,肾虚
是肾虚吗,肾虚,肾虚
肾结石,肾结石,肾结石
尿道炎,尿道炎,尿道炎
是不是梅毒啊,梅毒,梅毒
是不是膀胱炎,膀胱炎,膀胱炎
包皮炎,包皮炎,包皮龟头炎
最近感冒了,感冒,其他疾病
前列腺增生,前列腺增生,前列腺肥大
是尿道感染吗,尿道感染,泌尿生殖系感染
龟头炎,龟头炎,包皮龟头炎
慢性前列腺炎,慢性前列腺炎,前列腺炎
尿道感染,尿道感染,泌尿生殖系感染
龟头炎？,龟头炎,包皮龟头炎
结石？,结石,其他疾病
有前列腺增生,前列腺增生,前列腺肥大
尿路感染,尿路感染,泌尿生殖系感染
阴道炎,阴道炎,其他疾病
生殖器疱疹,生殖器疱疹,疱疹
痔疮,痔疮,其他疾病
是包皮还是包茎呢？,包皮,错误实体
前列炎,前列炎,前列腺炎
你是包皮还是包茎呢？,包皮,错误实体
包皮包茎,包皮包茎,包茎
是肾阴虚吗,肾阴虚,肾虚
有阴道炎,阴道炎,其他疾病
阳虚还是阴虚,阳虚,肾虚
应该是毛囊炎吧,毛囊炎,其他疾病
我有宫颈糜烂,宫颈糜烂,其他疾病
冷精,冷精,冷精
血尿啊,血尿,血尿
血尿问题大吗,血尿,血尿
前十几天：吃了三九胃泰养胃的，可能不是胃病，下面解小手还是血尿…,血尿,血尿
有血尿,血尿,血尿
引起血尿的病因一般是由 尿道炎 膀胱炎 前列腺炎 膀胱内部损伤导致出现或者结石等 这些是常见的病因,血尿,血尿
血尿的话一般多为肾脏 膀胱 前列腺 泌尿 问题引起的,血尿,血尿
血尿伴随尿痛,血尿,血尿
这是血尿的症状，你是男性吗,血尿,血尿
你导致血尿的结石，可不能放任不管,血尿,血尿
突然出现血尿不排除是局部血管破裂，尿道损伤引起的，或者有泌尿生殖系统疾病，炎症，泌尿结石等,血尿,血尿
血尿的话，主要是考虑结石病，前列腺炎，尿道炎，膀胱炎，肾炎等,血尿,血尿
这个是血尿的症状,血尿,血尿
引起血尿的原因比较多，比如泌尿系感染，结石，肾脏，肿瘤，以及一些全身性的疾病，都可能引起血尿,血尿,血尿
