id,entity_value_relationship,dialog_id,file,last_change_time
33117,symptom@海绵体有损伤#可能病因#cause@频繁的手淫,401,男科_潘淑贞_0.graph,2020-08-31 07:49:36
33118,symptom@血流不足#可能病因#cause@频繁的手淫,401,男科_潘淑贞_0.graph,2020-08-31 07:49:38
33119,symptom@龟头神经敏感#可能病因#cause@频繁的手淫,401,男科_潘淑贞_0.graph,2020-08-31 07:49:39
33120,symptom@不坚不久#可能病因#cause@频繁的手淫,401,男科_潘淑贞_0.graph,2020-08-31 07:50:31
33121,symptom@射的也快#可能病因#cause@频繁的手淫,401,男科_潘淑贞_0.graph,2020-08-31 07:50:33
33122,symptom@性生活中途疲软#可能病因#cause@频繁的手淫,401,男科_潘淑贞_0.graph,2020-08-31 07:50:52
33123,symptom@没以前硬了#可能病因#cause@频繁的手淫,401,男科_潘淑贞_0.graph,2020-08-31 07:50:53
3250,item@阳痿#关联的症状#symptom@没以前硬了,401,男科_潘淑贞_0.graph,2020-07-29 10:27:05
3251,item@阳痿#关联的症状#symptom@射的也快,401,男科_潘淑贞_0.graph,2020-07-29 10:27:08
3252,item@阳痿#关联的症状#symptom@不坚不久,401,男科_潘淑贞_0.graph,2020-07-29 10:27:37
3254,item@阳痿#关联的症状#symptom@性生活中途疲软,401,男科_潘淑贞_0.graph,2020-07-29 10:27:41
3255,item@早泄#关联的症状#symptom@没以前硬了,401,男科_潘淑贞_0.graph,2020-07-29 10:30:13
3256,item@早泄#关联的症状#symptom@射的也快,401,男科_潘淑贞_0.graph,2020-07-29 10:30:16
3257,item@早泄#关联的症状#symptom@不坚不久,401,男科_潘淑贞_0.graph,2020-07-29 10:30:34
3258,item@早泄#关联的症状#symptom@性生活中途疲软,401,男科_潘淑贞_0.graph,2020-07-29 10:30:46
3259,cause@频繁的手淫#同义的实体#cause@长期的手淫,401,男科_潘淑贞_0.graph,2020-07-29 10:31:08
3260,symptom@龟头神经特别敏感#同义的实体#symptom@龟头神经敏感,401,男科_潘淑贞_0.graph,2020-07-29 10:31:15
3261,item@阳痿#可能病因#cause@频繁的手淫,401,男科_潘淑贞_0.graph,2020-07-29 10:31:45
3262,item@阳痿#可能病因#cause@长期的手淫,401,男科_潘淑贞_0.graph,2020-07-29 10:31:53
3270,item@早泄#可能病因#cause@频繁的手淫,401,男科_潘淑贞_0.graph,2020-07-29 10:34:31
3271,item@早泄#可能病因#cause@长期的手淫,401,男科_潘淑贞_0.graph,2020-07-29 10:34:34
8144,item@早泄#关联的症状#symptom@龟头神经特别敏感,401,男科_潘淑贞_0.graph,2020-08-05 08:44:04
8145,item@早泄#关联的症状#symptom@海绵体有损伤,401,男科_潘淑贞_0.graph,2020-08-05 08:44:14
8146,item@早泄#关联的症状#symptom@血流不足,401,男科_潘淑贞_0.graph,2020-08-05 08:44:25
8147,item@早泄#关联的症状#symptom@龟头神经敏感,401,男科_潘淑贞_0.graph,2020-08-05 08:44:34
8148,item@阳痿#关联的症状#symptom@龟头神经特别敏感,401,男科_潘淑贞_0.graph,2020-08-05 08:47:10
8149,item@阳痿#关联的症状#symptom@海绵体有损伤,401,男科_潘淑贞_0.graph,2020-08-05 08:47:16
8150,item@阳痿#关联的症状#symptom@龟头神经敏感,401,男科_潘淑贞_0.graph,2020-08-05 08:47:20
8151,item@阳痿#关联的症状#symptom@血流不足,401,男科_潘淑贞_0.graph,2020-08-05 08:47:50
33124,symptom@上小便疼#同义的实体#symptom@上小便会疼,402,男科_潘淑贞_0.graph,2020-08-31 07:53:24
33129,item@尿道炎#关联的症状#symptom@下面流脓,402,男科_潘淑贞_0.graph,2020-08-31 07:56:04
