,阈值,总体覆盖率（筛选后的所有值/总数）,总体准确率（包含正负例）,正例覆盖率（正例/筛选出来的正负例）,正例准确率
0,0.01,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
1,0.02,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
2,0.03,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
3,0.04,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
4,0.05,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
5,0.06,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
6,0.07,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
7,0.08,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
8,0.09,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
9,0.10,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
10,0.11,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
11,0.12,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
12,0.13,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
13,0.14,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
14,0.15,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
15,0.16,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
16,0.17,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
17,0.18,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
18,0.19,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
19,0.20,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
20,0.21,1.0,0.7371408165087301,0.25613784483528257,0.12059951202509585
21,0.22,0.9999617381101177,0.7371690219886741,0.2560995829454003,0.1206175298804781
22,0.23,0.9999617381101177,0.7371690219886741,0.2560995829454003,0.1206175298804781
23,0.24,0.9998979682936473,0.7371905253893545,0.256061321055518,0.12063555312048613
24,0.25,0.9997704286607063,0.7372845679878555,0.25594653538587114,0.1206896551724138
25,0.26,0.9996683969543536,0.7373343029560735,0.2558827655694007,0.12071973284154912
26,0.27,0.9995408573214126,0.7374028658559927,0.25576797989975386,0.12072404507828863
27,0.28,0.9993750557985894,0.7374996809515302,0.25562768630351884,0.1207903008531657
28,0.29,0.9990689606795312,0.7376745729823576,0.2553726070376369,0.12086100983868552
29,0.30,0.998635325927532,0.7377777777777778,0.25513028173504915,0.1208258348330334
30,0.31,0.9982527070287092,0.7379200204420595,0.25488795643246137,0.12089066800100075
31,0.32,0.9977808103868278,0.738077281965411,0.25459461527669724,0.12097986173730087
32,0.33,0.997015572589182,0.7384007265935809,0.2540717027816394,0.1211786556899754
33,0.34,0.9957656841863609,0.7388920909382004,0.25333197291058196,0.12153249760861905
34,0.35,0.9941969467011874,0.7394037356321839,0.2524264415167013,0.12191794664510913
35,0.36,0.9923476220235438,0.7400105388975285,0.25135510859999743,0.1220824030850416
36,0.37,0.9902814799699007,0.7408461587996651,0.250066958307294,0.12255827000561025
37,0.38,0.9881643220630811,0.741581589850153,0.24886808575764918,0.12294367857325886
38,0.39,0.985167140688969,0.7426725700378023,0.24694223730024106,0.12328271872740419
39,0.40,0.9825398242503858,0.7436719541005737,0.2452587141454207,0.12376495059802392
40,0.41,0.9790835001976864,0.7449294618781508,0.24319257209177753,0.12439689532200546
41,0.42,0.9757419618146339,0.7461211685510751,0.24117744589131074,0.1249074563722898
42,0.43,0.9716989554504062,0.7474536672441854,0.2388179626819034,0.1252336448598131
43,0.44,0.967860012498884,0.7486789568700831,0.23666254288520158,0.12572752748437163
44,0.45,0.9635236649788922,0.750354084212477,0.23408624229979466,0.12672986814863246
45,0.46,0.9592383333120768,0.7519112895720041,0.23149718775109365,0.12721062200429728
46,0.47,0.9544938589666739,0.7539250925319686,0.228410728633923,0.12831537215924954
47,0.48,0.9497876465111533,0.7556868537666175,0.2255793487826342,0.12896477638943857
48,0.49,0.944839108753045,0.7576334332226452,0.22250564362875763,0.1297718674767855
49,0.50,0.9401328962975245,0.7595268134521727,0.2195977399977043,0.13079335579045184
50,0.51,0.9329141530730675,0.76109751596101,0.21648577295394544,0.13167196889360197
51,0.52,0.9256316400321399,0.7624972442680776,0.21361613121277437,0.1327840468087647
52,0.53,0.9181068016886247,0.7640096685466619,0.2107719973981915,0.13384969139537697
53,0.54,0.9106839950514622,0.7658114391350624,0.20762176846455035,0.13526629399840284
54,0.55,0.9036565612764167,0.7676739164185002,0.20462458709043835,0.13674894041386187
55,0.56,0.8957491040340786,0.7695812509788845,0.20121927889091534,0.13817582556886607
56,0.57,0.8886579004425625,0.7710291774904201,0.19842616092950885,0.1391567039465227
57,0.58,0.8810055224661063,0.7726305427276807,0.1953524557756323,0.1403016256447085
58,0.59,0.8734424222327088,0.7748233163950704,0.191908885686227,0.14135708114574333
59,0.60,0.8659941076689581,0.7767304860088365,0.1887076408994095,0.14253852392538524
60,0.61,0.8586860867014424,0.7786920551933103,0.1854808881860038,0.1434367049439593
61,0.62,0.8514928514035737,0.7806120156374039,0.1824454449220095,0.1447745543516253
62,0.63,0.8439425051334702,0.7824726844085778,0.17938449373142704,0.14610735869178812
63,0.64,0.8369788411748951,0.7844419047619048,0.17634905046743277,0.14768207130975627
