句子,实体,实体类别
预约挂号　回复姓名和电话,$symptom:左下腹疼痛,symptom
你好 是想咨询哪方面的问题,无,无
恩 那么咱们可以今天过来做个彩超看看的 ，现在彩超预约后才36块钱 当时就出结果了,$check:彩超,check
恩 正常白带是透明蛋清样的 有发红的话考虑 阴道炎 宫颈炎宫颈糜烂感染的 考虑已经有感染扩散了，长期的病菌刺激就会有 外阴肿的,$symptom:发红#外阴肿$cause: 阴道炎 宫颈炎宫颈糜烂感染$fluid:白带,symptom$cause$fluid
不查明原因怎么对症治疗呢,无,无
白色是有异常的分泌物引起的,$symptom:白色#异常的分泌物,symptom
嗯? 那可以做个血检确定一下是否怀孕的,$physiology:怀孕$check:血检,physiology$check
怀孕早期的症状首先是，月经推迟不来，乏力，犯困，厌食，挑食，恶心，呕吐等。,$symptom:乏力#犯困#挑食#恶心#呕吐#月经推迟不来$physiology:怀孕,symptom$physiology
你目前的情况是需要做个彩超来确定是什么,$check:彩超,check
嗯，是医生开的吗，还是自己买的呢,无,无
这个考虑癌变了,$symptom:癌变,symptom
或者你现在可以做个彩超 血检确定一下查清楚心里也有个底 放心一些,$check:彩超 血检,check
好的，你稍等几分钟,$datetime:几分钟,datetime
你多大了　？最后一次月经是几月几号呢？,$physiology:月经,physiology
你现在是怀孕了吗,$physiology:怀孕,physiology
咱们网上不指导用药,无,无
想查就查一下 就当体检了,$check:体检,check
这样吧? 你有微信吗 我加你?? 给你说一些注意事项，不清楚的方便咨询我，月经干净想看可以找我,$physiology:月经,physiology
嗯 这个是有炎症的了? 炎症刺激导致的瘙痒,$symptom:炎症#瘙痒$cause:? 炎症刺激,symptom$cause
详细了解一下你的情况 具体的来帮你分析一下 我的微信15290312669? 你咨询也方便一些了,无,无
她的问题你让她自己咨询吧 你问了也解决不了,无,无
同房的话就会有怀孕的几率的,$physiology:同房#怀孕,physiology
这样说是否理解,无,无
你的多少 我加你也可以,无,无
现在是五一期间的援助活动 每天半价名额只有10个的 都是需要提前预约的,$datetime:五一期间,datetime
白带是直接反映女性生殖部位的健康情况。,$fluid:白带,fluid
您好，有什么能帮助您的?（你Q/微信多少？我加你，一对一分析解答） 微信18568757681.QQ3330251972,无,无
嗯，那你是怎么考虑的,无,无
平时用QQ还是微信呢 可以加一下，有什么想要了解的 可以问我,无,无
有检查单子吗,无,无
姑娘，私密处感染不能盲目? 因为这个地方是比较娇嫩的，需要检查化验清楚致病菌,$symptom:私密处感染,symptom
恩 那不是还是没有效果 难道你治疗不是为了治疗好? 只是为了缓解吗,无,无
你今年多大年龄 外阴有脱皮 疙瘩吗,$symptom:脱皮 疙瘩,symptom
您好，有什么能帮助您的?我是丽人医院高医生（你Q/微信多少？我加你，一对一分析解答，我的微信是18568757681）,无,无
你现在又上学又担心 那你想让阿姨怎么帮你呢,无,无
你是用试纸测的吗,无,无
您好， 有什么能帮助您的? 我的微信15290312669可以加微信一对一的分析解答,无,无
都好几个月了 时间不短了 去医院检查过吗,$datetime:几个月,datetime
网络不稳定可以添加我的qq：2127471744或微信：sq333025197咨询,无,无
检查宫颈糜烂需要做阴道镜检查,$check:阴道镜检查$item:宫颈糜烂,check$item
你月经出现15天肯定是不正常的,$symptom:不正常$datetime:15天$physiology:月经,symptom$datetime$physiology
嗯，这个月月经有推迟吗,$symptom:推迟$datetime:这个月$physiology:月经,symptom$datetime$physiology
是想了解哪方面的问题呢,无,无
建议术后是留观1.2天。,$datetime:1.2天,datetime
目前是出现什么症状了呢?跟我说说你的情况，我帮你分析一下,无,无
网络不稳定可以添加我的QQ：1194083300? 或 微信：N15137773074咨询,无,无
你计划什么时候做,无,无
里边有彩超，电子阴道镜和白带常规，可以全面看看你是哪方面的问题，检查确诊以后对症用药大概三五天就没事了,$datetime:三五天$check:彩超#白带常规#电子阴道镜,datetime$check
你是什么想法的呢,无,无
恩，你是月经还没有干净，然后同房的？,$symptom:月经还没有干净$physiology:同房,symptom$physiology
你是在哪个医院检查的 医生没给你治疗吗？,无,无
您怀孕多久了,$physiology:怀孕,physiology
是因为检查便宜吗？,无,无
你多大了现在,无,无
您好，有什么能帮助您的?我是丽人医院高医生（你Q/微信多少？我加你，一对一分析解答，我的微信是18568757681）,无,无
小便异味重常见于尿路感染的，有尿频、尿急、尿痛、尿不尽吗,$symptom:尿频#尿急#尿痛#尿不尽#小便异味$item:尿路感染,symptom$item
嗯，是在哪个医院治疗呢,无,无
嗯? 不排除 你几号同房了,$physiology:同房,physiology
恩 自己能闻到吧,无,无
八项妇科检查只需要36元（原价258元），检查项目包括：妇科内诊、血常规、尿常规、白带常规、数码阴道镜、美国GE彩超、宫颈刮片、细菌化验）温馨提示 ：（优惠名额有限，仅限网络预约前10名患者，直接来院不享受),$check:血常规#尿常规#妇科检查#妇科内诊#白带常规#宫颈刮片#细菌化验#数码阴道镜#美国GE彩超,check
您好，有什么能帮助您的?（你Q/微信多少？我加你，一对一分析解答） 微信185959619871.QQ3330251972,无,无
嗯??术后月经一直都正常吗,$physiology:月经$surgery:??术,physiology$surgery
县级医院和专业的妇科医院只来方式和效果肯定是不一样的,无,无
那这种情况建议您到医院检查彩超看一下是不是环移位或者脱落导致的,$symptom:脱落$cause:环移位$check:彩超,symptom$cause$check
您想咨询哪方面的问题呢 、,无,无
之前也是推迟这么久吗,$symptom:推迟,symptom
你多大年龄了,无,无
你多大年龄，怀孕都少天了呢,$physiology:怀孕,physiology
您好，我是丽人妇科医院在线段医生，有什么能帮助您的?（微信15290312669QQ3503639975，你Q/微信多少？我加你，一对一分析解答）,无,无
是想了解哪方面的问题呢,无,无
怀孕多长时间了呢,$physiology:怀孕,physiology
你微信或qq是多少呢 我加你,无,无
你好 有糜烂了,$symptom:糜烂,symptom
严重就早点看,无,无
姑娘 像你还小 在这个部位张疙瘩 ，咱们是需要检查知道? 是哪种致病引起的疙瘩,$symptom:疙瘩,symptom
恩 正常的白带是无色无味透明的 白带异常是有阴道炎? 炎症加重就会出现瘙痒 裂口的情况,$symptom:白带异常#瘙痒 裂口$cause:阴道炎? 炎症$fluid:白带,symptom$cause$fluid
嗯? 咱们正常的是蛋清样的 无色无味的??? 一旦生殖器官感染了?? 就出现炎症的感染了,$symptom:炎症#感染,symptom
目前是出现什么症状了呢?跟我说说你的情况，我帮你分析一下..,无,无
你是南阳哪里的呢,无,无
你好，外阴瘙痒是有外阴炎的情况的,$symptom:外阴瘙痒$item:外阴炎,symptom$item
可以加下我的工作QQ?3188262373或者微信：18625656754方便以后有什么问题不清楚的随时可以咨询，我基本都在线的，或者您的QQ是多少的？我可以加您,无,无
那就不知道了,无,无
您好，我是丽人妇科医院 ，有什么能帮助您的??? 你Q/微信多少？我加你，一对一分析解答，我的微信是15137774094,无,无
你多大了? 怀孕多久了,$physiology:怀孕,physiology
嗯，这样吧，你有Q或是微信吗，可以加一下吗,无,无
嗯?? 那咱们到院后主任会根据您的实际情况给您最适合您的治疗方式的,无,无
您好，有什么能帮助您的?（网络不稳定，你Q/微信多少？我加你，一对一分析解答）? 微信：18625656754,无,无
有微信或QQ吗，我加你吧，这方面注意事项我给你讲讲，以后不清楚都可以咨询我，我的是15660040159,无,无
上个月几号来的？,$datetime:上个月,datetime
有没有生育过呢,$physiology:生育,physiology
那量也比较多的，今年多大了呢？第一次出现吗,无,无
个人信息都是保密的，如果担心的话，可以使用化名预约，等你享受优惠后，系统就会自动清除,无,无
恩 疼不疼 痒不痒,$symptom:疼#痒,symptom
这个情况我们妇科专科医院很常见? 不是那么复杂 你却检查了这么久没有检查出来,无,无
申请成功这样的话，里边也包含了你需要的检查，咱们可以有效的找到发病原因，自己也对身体有一个详细的了解,无,无
尽早检查治疗? 你是河南哪里的,无,无
恩? 之前有过妇科炎症吗,$item:妇科炎症,item
都这么长时间了呀 去医院检查过吗,无,无
想今天几点过来呢,$datetime:今天,datetime
您多大年龄了? 这个情况多久了,无,无
已经做了流产了吗,$surgery:流产,surgery
之前是有阴道炎或者宫颈糜烂吗,$item:阴道炎#宫颈糜烂,item
您好， 有什么能帮助您的? 我的微信15660040159可以加微信一对一的分析解答,无,无
恩 您这个情况大概多久了，是性生活后出现的吗,$physiology:性生活,physiology
像你们目前的情况? 需要禁止性生活? 以免加重情况,无,无
你上次出现这个情况也没有检查治疗吗,无,无
咱们异味是自己能闻到还是家人朋友同事也能闻到呢,$symptom:异味,symptom
多大年龄了？出现这样的情况多久了呢？,无,无
你好 就你好,无,无
比如冲洗的阴道塞药的 也有物理治疗 都可以,无,无
你女朋友多大了年龄了呢,无,无
你好，是有哪方面的问题需要了解的呢?,无,无
您好，有什么能帮助您的?我是丽人医院高医生（你Q/微信多少？我加你，一对一分析解答，我的微信是18568757681）,无,无
你多大年龄呢,无,无
你觉得你正常还来问我吗,无,无
对? 都一样的,无,无
孕四个月做无痛引产手术费用需要3000元，咱们预约后可申请手术减免500元的优惠，减免后是2500元的。,$datetime:四个月$physiology:孕$surgery:无痛引产手术,datetime$physiology$surgery
最后一次来月经是几月几号呢,$physiology:月经,physiology
那时间不短了这就是炎症反复发作了?? ? 咱们有没有白带发黄 豆腐渣 瘙痒等情况呢？,$symptom:白带发黄 豆腐渣 瘙痒,symptom
或者你的微信号多少？我来加你,无,无
收不到加我微信聊吧,无,无
正常白带应该是无色透明的，质地勃滑，像鸡蛋清一样，量不多，没有什么气味，没有瘙痒，,$fluid:白带,fluid
您好， 有什么能帮助您的? 我的微信15290312669可以加微信一对一的分析解答、、,无,无
您目前在咱们河南南阳哪里居住呢,无,无
这个怀孕天数，可以申请咱们院的特惠人流手术，微微无痛人流手术预约半价后是290元,$physiology:怀孕$surgery:无痛人流手术,physiology$surgery
你就听不懂我说话,无,无
嗯，你现在是怎么打算的呢，考虑检查看看出血原因吗？,$symptom:出血,symptom
手术后有同房过吗,$physiology:同房,physiology
你先不要着急 我先了解下你的情况? 咱们多大年龄了？之前月经都正常吗？,$physiology:月经,physiology
那么你可以加上我的微信 到时有什么不懂的随时问我也方便,无,无
我的微信13134445968 QQ2471456271 ，咱们互加一下吧，后期有问题，不明白的可以随时咨询我，方便联系，您的微信多少 我加你！,无,无
治疗用药后不可以好转就停药，需要巩固一下、,无,无
我的微信N15137773074? QQ1194083300,无,无
你好 这是妇科炎症的表现 阴道炎宫颈炎 盆腔炎都会导致,$item:盆腔炎#妇科炎症#阴道炎宫颈炎,item
现在起不建议同房了 容易交叉感染,$symptom:交叉感染$physiology:同房,symptom$physiology
月经平时正常吗 出现过推迟的情况吗,$symptom:推迟$physiology:月经,symptom$physiology
