uuid,sentence,sentence2,label,index
c9f43b10-1bf8-11ea-ab2b-e0d55e7e3b80,腰疼和肚子疼怎么办,会肚子疼吗？,0,5678
c9f06b99-1bf8-11ea-a702-e0d55e7e3b80,还能不能怀孕呀,女的检查能不能怀孕,0,8669
c9ef824e-1bf8-11ea-a312-e0d55e7e3b80,要做什么检查,我也不知道做什么检查,1,2301
c9f41358-1bf8-11ea-89c3-e0d55e7e3b80,那要怎么测,那要怎么才准确,0,3466
c9f3ec21-1bf8-11ea-9dfe-e0d55e7e3b80,哪我现在需要检查什么,她需要做什么检查,0,4665
c9f4885d-1bf8-11ea-9e97-e0d55e7e3b80,平时要注意些什么呢,平时不需要注意些什么吗？,0,4647
c9f1091c-1bf8-11ea-8998-e0d55e7e3b80,那什么原因造成的呢,那我这个是什么原因引起的呢？,1,9763
c9f43acf-1bf8-11ea-b381-e0d55e7e3b80,奥？大概多少钱,哦，大概需要多少钱,1,2526
cb05ee4f-1bf8-11ea-b339-e0d55e7e3b80,没有，所以才咨询一下,所以我咨询一下,0,10017
c9f0e202-1bf8-11ea-8cd0-e0d55e7e3b80,是不是还需要去检查输卵管,那我去检查是不是直接就检查下输卵管问题呢,0,3387
c9f39ed7-1bf8-11ea-8d6a-e0d55e7e3b80,得炎症会不会怀孕,炎症会不会影响怀孕,0,8962
c9f3ec41-1bf8-11ea-b8bd-e0d55e7e3b80,我现在还是学生，,目前我还是学生,1,8730
c9f218ff-1bf8-11ea-af30-e0d55e7e3b80,有没有什么治疗的方法,那有什么好方法治疗吗,1,2361
c9f15681-1bf8-11ea-9ad6-e0d55e7e3b80,子宫内膜薄了能治疗吗,子宫内膜薄咋弄,0,4489
c9ef5b1d-1bf8-11ea-8114-e0d55e7e3b80,孕前检查大概多少钱？,做个孕前检查需要多少钱,1,4080
c9f41307-1bf8-11ea-9258-e0d55e7e3b80,有可能是怀孕了吗,这样可能怀孕吗,0,9158
c9f3ec08-1bf8-11ea-91fc-e0d55e7e3b80,胎停，是什么愿意导致的,胎停 一般是什么原因造成的,1,5631
c9f1cae0-1bf8-11ea-9dcf-e0d55e7e3b80,需要注意什么了,还需要注意一些什么吗,1,8809
c9f4d6ba-1bf8-11ea-9c04-e0d55e7e3b80,什么原因?,请问下这个是什么原因引起的,1,1248
c9f43b6e-1bf8-11ea-bc76-e0d55e7e3b80,怎么治疗呐,这需要怎么治疗呢？,1,3056
c9f4d64e-1bf8-11ea-acc5-e0d55e7e3b80,请问什么是多囊卵巢,你好   请问多囊卵巢可以怀孕吗,0,9355
c9f17cfd-1bf8-11ea-9724-e0d55e7e3b80,是不是年龄大了，怀不上了。,想要怀不上，是不是年龄大了,1,7401
c9f3c619-1bf8-11ea-b000-e0d55e7e3b80,怀孕有什么症状啊,什么症状不怀孕？,0,8495
c9f108d6-1bf8-11ea-8db5-e0d55e7e3b80,有什么需要检查的吗》,这种需要检查什么,1,9241
c9f1cab5-1bf8-11ea-abda-e0d55e7e3b80,我想问一下，我月经不调，量特别少？能怀孕吗,我想问一下月经不调会影响怀孕吗,0,6433
