uuid,sentence,sentence2,label
2229a286-1bf3-11ea-bfa9-e0d55e7e3b80,你怎么办,那怎么办我需要,0
222d2330-1bf3-11ea-b9f1-e0d55e7e3b80,对，现在不怎么方便,现在不太方便电话呢,0
222dbee7-1bf3-11ea-8774-e0d55e7e3b80,是抽搐吗,牙关紧闭。,0
222e5af3-1bf3-11ea-88f6-e0d55e7e3b80,那应该怎么治疗呀,怎么治疗哪？,1
222ad9ff-1bf3-11ea-9814-e0d55e7e3b80,突然间晕倒是什么原因,抽搐是什么原因,0
22297ba1-1bf3-11ea-b831-e0d55e7e3b80,不，有抑郁症,精神分裂和抑郁症有什么不同呢？,0
222f1c5b-1bf3-11ea-8618-e0d55e7e3b80,你们用什么方法治疗的,用什么方法治疗,1
222ad963-1bf3-11ea-a8b8-e0d55e7e3b80,是癫痫哪一种呢,癫痫会吐吗？,0
222b2868-1bf3-11ea-b9bf-e0d55e7e3b80,想咨询您一下,我想咨询咨询,1
222e5ab6-1bf3-11ea-aa37-e0d55e7e3b80,这个是有什么症状呢，,我这个是什么症状啊,0
222c5f93-1bf3-11ea-940d-e0d55e7e3b80,亲要怎么检查,那要怎么检查,1
22297b7a-1bf3-11ea-bcc7-e0d55e7e3b80,什么能引起小儿癫痫,小儿癫痫什么症状,0
222ad991-1bf3-11ea-84cd-e0d55e7e3b80,这是我的微信,是我的微信,1
222d96cd-1bf3-11ea-a20e-e0d55e7e3b80,强迫症的症状是什么,什么是强迫症？,0
415e557b-1bf3-11ea-8917-e0d55e7e3b80,53  男   从昨晚后半天开始的,好久了        不是一两天,0
222d971b-1bf3-11ea-b2a8-e0d55e7e3b80,您怎么称呼呀,怎么能好？,0
2229c93b-1bf3-11ea-b64d-e0d55e7e3b80,这样是发作吗,发作少了,0
222bc341-1bf3-11ea-9e93-e0d55e7e3b80,去睡困难怎么治疗呢,怎么治疗呢,0
222953c5-1bf3-11ea-9eda-e0d55e7e3b80,还能治好吗？,好的，可以治好吧,1
415e2e87-1bf3-11ea-ba40-e0d55e7e3b80,哪些原因导致癫痫病,癫痫病一般是什么原因引起？？,1
222bea0d-1bf3-11ea-8bf5-e0d55e7e3b80,这个是因为什么原因呢,是什么原因呀,1
415e7c9f-1bf3-11ea-9e72-e0d55e7e3b80,这是抑郁症的表现吗,抑郁症会有哪些表现,0
222b7667-1bf3-11ea-85e4-e0d55e7e3b80,去年检查了啥都没检查出来,去年去医院检查检查不出来,1
222b4f67-1bf3-11ea-898d-e0d55e7e3b80,不发病时也能检查出来吗,没发病的时候能检查出来嘛,1
222e0d00-1bf3-11ea-8df6-e0d55e7e3b80,怎么治疗了？,我也不知道怎么治疗的,0
222cd4f9-1bf3-11ea-b9df-e0d55e7e3b80,"我想咨询""小孩睡觉抽搐的原因""","我想咨询""睡觉抽搐的原因""",1
222d49fc-1bf3-11ea-9f65-e0d55e7e3b80,那怎么办？,那应该怎么办呢,1
222ef557-1bf3-11ea-8863-e0d55e7e3b80,请问什么原因引起的抽风,抽风是什么原因造成的,1
222cadc2-1bf3-11ea-84c1-e0d55e7e3b80,抑郁症、焦虑症有区别吗？,我有焦虑症,0
222d4a1a-1bf3-11ea-9587-e0d55e7e3b80,17岁 女,21岁 女,1
222de515-1bf3-11ea-ab54-e0d55e7e3b80,不知道是不是得了什么病了，,我不知道自己是不是病了,1
222b28ab-1bf3-11ea-a1e4-e0d55e7e3b80,我想这种情况用什么药,什么情况？,0
2229a1f7-1bf3-11ea-b0ad-e0d55e7e3b80,你说我该咋办,该怎么办,1
2229f0ad-1bf3-11ea-93da-e0d55e7e3b80,那这种要怎么治疗,怎么治疗好啊,1
222d22e0-1bf3-11ea-b746-e0d55e7e3b80,"我想咨询""小发作怎么治""","我想咨询""小发作的症状""",0
2229a28c-1bf3-11ea-885f-e0d55e7e3b80,有什么好的治疗方法吗你们医院,那咱们医院是什么方式治疗呢,1
222d22cf-1bf3-11ea-91d3-e0d55e7e3b80,你们那怎么治疗,那是怎么治疗?,1
222ef526-1bf3-11ea-9b41-e0d55e7e3b80,程度没有这么严重,没你说的这么严重,1
222b01f0-1bf3-11ea-ab4e-e0d55e7e3b80,"我想咨询""治疗的方法""","我想咨询""抽搐的治疗方法""",0
22297b1f-1bf3-11ea-8976-e0d55e7e3b80,有什么治疗方法吗？,请问还有什么治疗的方法吗？,1
222a1855-1bf3-11ea-ac1a-e0d55e7e3b80,我不知道怎么说,打电话我也不知道怎么说,0
222a3e72-1bf3-11ea-a02e-e0d55e7e3b80,我们在上海看的 我们在江苏 不太方便 所以咨询一下,咨询一下,0
222b289e-1bf3-11ea-b4d4-e0d55e7e3b80,这到底属于什么,这属于什么呢,1
415e2efa-1bf3-11ea-9b83-e0d55e7e3b80,其他没有什么,其他的没有,1
415e7cf3-1bf3-11ea-83a9-e0d55e7e3b80,"我想咨询""突然抽搐翻白眼""","我想咨询""半夜抽搐是怎么回事""",0
415e7cd1-1bf3-11ea-a7c1-e0d55e7e3b80,"我想咨询""小孩抽搐翻白眼""","我想咨询""人突然间抽搐""",0
222d702f-1bf3-11ea-b315-e0d55e7e3b80,一岁多的孩子出现抽搐怎么回事,孩子五岁了，昨晚上突然抽搐是怎么回事,0
22292e05-1bf3-11ea-9cff-e0d55e7e3b80,孩子抽了咋辦,是③个月的宝宝,0
2229a1a3-1bf3-11ea-8c9c-e0d55e7e3b80,要治疗吗，怎么治呢,那一般要怎么治疗呢,0
22295426-1bf3-11ea-86f7-e0d55e7e3b80,没有了。,那没有的,1
222ad95c-1bf3-11ea-8d1a-e0d55e7e3b80,知道什么,什么要知道,0
222a6631-1bf3-11ea-aee2-e0d55e7e3b80,那怎么办呢,那应该怎么办呢,1
222dbf57-1bf3-11ea-90da-e0d55e7e3b80,癫痫病能治愈么,请问癫痫病能治愈吗？,1
222cade7-1bf3-11ea-949a-e0d55e7e3b80,一般要花多少钱,大概要花多少钱,1
415e07a0-1bf3-11ea-8ef5-e0d55e7e3b80,你们是怎么治疗,该怎么治疗,1
222d704a-1bf3-11ea-8111-e0d55e7e3b80,什么抗癫痫药副作用小,请问奥卡西平副作用大吗,0
222ab2c6-1bf3-11ea-89da-e0d55e7e3b80,过几天吧,没有，打箅过几天去。,0
415e0799-1bf3-11ea-a41b-e0d55e7e3b80,明天吧！,明天可以吗？,1
415de1ce-1bf3-11ea-825b-e0d55e7e3b80,嗯嗯   好吧,对啊对啊,0
222e0cbb-1bf3-11ea-bdaa-e0d55e7e3b80,奥卡西平片有什么付作用,卡马西平片有什么副作用,0
222b76b2-1bf3-11ea-9e03-e0d55e7e3b80,那怎么治疗啊？,怎么个治疗方法,1
222b4f43-1bf3-11ea-8c73-e0d55e7e3b80,癫痫好诊断吗,我有癫痫。。。,0
222bc328-1bf3-11ea-8094-e0d55e7e3b80,您的医院有吗,哦是一个医院吧？,0
222ef5a2-1bf3-11ea-a59a-e0d55e7e3b80,那如果去你院怎么个治疗呢,那你们是怎么治疗的，,1
222b01ea-1bf3-11ea-9d7d-e0d55e7e3b80,需要动手术？,还需要做手术吗？,1
2229c8d0-1bf3-11ea-a645-e0d55e7e3b80,看医生会让吃药吗？,哦       那些医生说要吃药,0
415e7caf-1bf3-11ea-a16d-e0d55e7e3b80,焦虑症和抑郁症是一样症状吗,也有焦虑症,0
