targets_id,sentence,sentence2,label
1.60031E+15,我加你嘛  你呢多少,好的，那你的号码是多少？我加你,1
7.41965E+15,双眼皮埋线改全切,如果全切呢,0
6.70803E+15,眼睛是一单一双的,我是一单一双的,1
2.8085E+15,自体脂肪存活率高？,那就是自体脂肪嘛,0
8.59248E+15,有，我加你微信,我加你微信了你通过一下,0
5.9795E+15,张了半年了,能维持半年吗,0
8.38804E+15,"我想咨询""植发多少钱一般""","我想咨询""植发现在多少钱""",1
8.38804E+15,我加你一个微信,我加你微信说吧。。,1
6.06882E+15,带一点双眼皮,连双眼皮,0
1.60031E+15,你们医院做过了,我有到过你们医院做过眉毛的,0
1.8503E+15,你们医院在搞活动没,那你们医院现在做活动是吧？,1
6.70803E+15,生完宝宝就严重下垂了,生完孩子严重些,0
8.83958E+15,好的，谢谢您呢,好的！多谢,1
8.38804E+15,我在上班不方便的,有点远，上班不方便,0
8.38804E+15,99脱一年？,99包拖的,0
8.88175E+15,瘦脸针是怎么做呢,瘦脸针怎么购买,0
4.27653E+15,图不好发给你,Q发给你,0
1.80028E+15,身高160，体重104斤,身高166体重160,1
3.99142E+15,12月12号吗,12.之后,0
3.99142E+15,我加你也是可以的,好，等下我加你,0
1.15972E+15,目前最好的填充是什么？,什么填充最好,1
1.60031E+15,疤痕就没有了,旧疤痕还能去出吗？,0
8.3301E+15,QQ微信都可以,有微信 有微信,0
5.9795E+15,要手术性的,这个手术做的多吗？,0
8.38804E+15,60多岁女,嗯，60多岁，,0
5.7275E+15,一针多少钱啊😄,大概多少钱一针,1
5.7275E+15,郑州哪的我现在也在郑州,嗯，是郑州的,0
8.36301E+15,种植牙一颗需要多少钱,种植牙一颗要多少钱。,1
2.77385E+15,注射是什么,注射什么意思呢,1
8.38804E+15,还有国产和进口的区别,进口和国产没区别,0
8.83958E+15,不知道都有什么价位,那你这什么价位,1
3.22605E+15,修复凹痘坑,修复凹坑,0
8.59248E+15,我妈妈52,赵，52岁,0
8.38804E+15,上下排牙齿对不齐,上下牙缝对不齐,0
5.7311E+15,大概一般是多少钱,去这个疤大概多少钱,0
8.41299E+15,应该也要100单位,100个单位吗？,0
3.99142E+15,脸上的斑，能不能祛掉,脸上有斑能不能去掉呢,1
8.36301E+15,已经买了拼团的,不拼团呢？,0
1.80028E+15,查到吗？,没有查到吗？,0
8.38804E+15,那你医院地址在哪里？,还不知道你们医院地址在哪里,1
5.7275E+15,疗程多少钱,几次算一个疗程呢，三次多少钱,0
1.60031E+15,打了瘦脸针多久能喝酒,打了瘦脸针可以喝酒？,0
8.38804E+15,找李志海,是李志海医生做么,0
8.41299E+15,价格大概多少这样啊,一般价格大概多少,1
8.38804E+15,大概价格多少区间,那大概这个价位是多少,1
8.36301E+15,或者加我的微信聊也可以,可以加微信问吗,0
2.87558E+15,大概多少钱需要带,额。大概多少钱？,1
7.41965E+15,还有其他办法吗,就没其他办法吗？,1
1.8503E+15,牙齿可以做吗,不做牙齿,0
8.38804E+15,脸上长痘痘脸上长痘痘,以前脸上长痘痘的,0
3.99142E+15,今天下午去可以吗,今天是可以的,0
8.36301E+15,可以了。微信聊,通过了，微信聊,1
5.53487E+15,药水 去除还是激光去除,是激光去除还是药物,1
8.36301E+15,有时间我直接过去就可以了。,嗯，我有空就直接过去,1
8.83958E+15,双眼皮888吗？,888双眼皮是啥,0
8.36301E+15,要手机号？,好的，就是我手机号,0
5.7275E+15,眼睑为何下垂,眼睑下垂,0
1.8503E+15,是毕节的,是遵义的,0
8.59248E+15,都没恢复好,术后好恢复吗,0
3.99142E+15,你好 你们地址在哪里,那你们地址是在哪里啊,1
5.73251E+15,嗯，切开的大概多少钱？,做埋线是多少钱？,0
8.38804E+15,小硬币大小,小鸡蛋大小,0
1.80028E+15,可以去痘痘，痘印、毛孔、粉刺吗？,消除青春痘、痘印、痘坑、粉刺,0
1.60031E+15,咱们瘦脸针多钱一针,你好，瘦脸针是多少钱一针,1
6.70803E+15,不是，谢谢了,谢谢你出谢谢你,1
8.38804E+15,本周六上午吧,约周六上午,0
8.38804E+15,那矫正需要多长时间呢,∞↘矫正须要多长时间,1
1.80028E+15,微信发来就可以我加,我加微信哈,1
5.73251E+15,加微信给您发吧,医生可以加微信吗？,0
8.38804E+15,可以在微信上说吗,留微信行不,0
8.38804E+15,教程的费用大概是多少,费用大概多少.,0
2.77385E+15,女士，33 岁,女士  34岁,1
7.41965E+15,泡泡眼有点内双,现在有点内双了,0
8.38804E+15,哪种适合肿泡眼,适合肿眼泡的,1
2.8085E+15,我是昭通,丽江有吗,0
5.28391E+15,嗯来过的,来过 老客户,0
1.60031E+15,好的。那个医生做得最好？,那个医生？,0
1.8503E+15,那你的微信是,这么微信啊！,0
