,bz_bio,re_bio
0,O,O
1,O,O
2,O,O
3,O,O
4,O,O
5,O,O
6,O,O
7,O,O
8,O,O
9,O,O
10,O,O
11,O,O
12,O,O
13,O,O
14,O,O
15,O,O
16,B_surgery,B_surgery
17,I_surgery,I_surgery
18,I_surgery,I_surgery
19,I_surgery,I_surgery
20,I_surgery,I_surgery
21,I_surgery,I_surgery
22,O,O
23,O,O
24,O,O
25,O,O
26,B_item,B_item
27,I_item,I_item
28,I_item,I_item
29,O,O
30,O,O
31,O,O
32,O,O
33,O,O
34,O,O
35,O,O
36,O,O
37,O,O
38,O,O
39,O,O
40,O,O
41,O,O
42,O,O
43,O,O
44,O,O
45,O,O
46,O,O
47,O,O
48,O,O
49,O,O
50,B_symptom,B_symptom
51,I_symptom,I_symptom
52,I_symptom,I_symptom
53,I_symptom,I_symptom
54,O,O
55,O,O
56,O,O
57,O,O
58,O,O
59,O,O
60,O,O
61,O,O
62,O,O
63,O,O
64,O,O
65,O,O
66,O,O
67,O,O
68,O,O
69,O,O
70,O,O
71,O,O
72,O,O
73,O,O
74,O,O
75,O,O
76,O,O
77,B_symptom,O
78,O,O
79,O,O
80,O,B_frequency
81,O,I_frequency
82,O,I_frequency
83,O,O
84,O,O
85,O,O
86,O,O
87,O,O
88,B_medicine,O
89,I_medicine,O
90,I_medicine,O
91,I_medicine,B_part
92,I_medicine,I_part
93,O,O
94,O,O
95,O,O
96,O,O
97,O,O
98,O,O
99,O,O
100,O,O
101,O,O
102,O,O
103,O,O
104,O,O
105,O,O
106,B_emotion,O
107,I_emotion,O
108,O,O
109,O,O
110,O,O
111,B_pysiology,O
112,I_pysiology,O
113,O,O
114,O,O
115,O,O
116,O,O
117,O,O
118,O,O
119,O,O
120,O,O
121,O,O
122,O,O
123,O,O
124,O,O
125,O,O
126,O,O
127,O,O
128,O,O
129,O,O
130,O,O
131,O,O
132,O,O
133,O,O
134,O,O
135,O,O
136,O,O
137,O,O
138,O,O
139,O,O
140,O,O
141,O,O
142,O,O
143,O,O
144,O,O
145,O,O
146,O,O
147,O,O
148,O,O
149,O,O
150,O,O
151,O,O
152,O,O
153,O,O
154,O,O
155,O,O
156,O,O
157,O,B_org
158,O,I_org
159,O,I_org
160,O,I_org
161,O,O
162,B_check,B_symptom
163,I_check,I_symptom
164,I_check,I_symptom
165,I_check,I_symptom
166,I_check,I_symptom
167,O,O
168,O,O
169,B_part,B_part
170,I_part,I_part
171,O,O
172,O,O
173,O,O
174,O,O
175,O,O
176,O,O
177,O,O
178,O,O
179,O,O
180,O,O
