,bz_bio,re_bio
0,B_age,B_age
1,I_age,I_age
2,O,O
3,O,O
4,B_datetime,B_datetime
5,I_datetime,I_datetime
6,O,O
7,O,O
8,O,O
9,O,O
10,O,O
11,O,O
12,O,O
13,B_physiology,B_physiology
14,I_physiology,I_physiology
15,O,O
16,O,O
17,B_datetime,B_datetime
18,I_datetime,I_datetime
19,I_datetime,I_datetime
20,O,O
21,O,O
22,O,O
23,O,O
24,O,O
25,O,O
26,O,O
27,O,O
28,O,O
29,O,O
30,O,O
31,O,O
32,O,O
33,O,O
34,O,O
35,O,O
36,O,O
37,O,O
38,O,O
39,O,O
40,O,O
41,O,O
42,O,O
43,O,O
44,O,O
45,O,O
46,O,O
47,O,O
48,O,O
49,O,O
50,O,O
51,O,O
52,O,O
53,O,O
54,O,O
55,O,O
56,O,O
57,O,O
58,O,O
59,O,O
60,O,O
61,B_surgery,B_surgery
62,I_surgery,I_surgery
63,I_surgery,I_surgery
64,I_surgery,I_surgery
65,I_surgery,I_surgery
66,O,B_datetime
67,B_datetime,I_datetime
68,I_datetime,I_datetime
69,O,O
70,O,O
71,O,O
72,O,O
73,O,O
74,B_surgery,B_surgery
75,I_surgery,I_surgery
76,I_surgery,I_surgery
77,I_surgery,I_surgery
78,O,O
79,O,O
80,O,O
81,O,O
82,O,O
83,O,O
84,O,O
85,O,O
86,B_physiology,B_physiology
87,I_physiology,I_physiology
88,O,O
89,O,O
90,O,O
91,O,O
92,O,O
93,O,O
94,B_datetime,B_datetime
95,I_datetime,I_datetime
96,I_datetime,I_datetime
97,I_datetime,O
98,I_datetime,O
99,O,O
100,O,O
101,O,O
102,O,O
103,O,O
104,O,O
105,O,O
106,O,O
107,O,O
108,O,O
109,O,O
110,O,O
111,O,O
112,B_fluid,B_symptom
113,I_fluid,I_symptom
114,I_fluid,I_symptom
115,I_fluid,I_symptom
116,O,I_symptom
117,O,I_symptom
118,B_symptom,I_symptom
119,I_symptom,I_symptom
120,I_symptom,I_symptom
121,O,O
122,O,O
123,O,O
124,O,O
125,O,O
126,B_symptom,O
127,I_symptom,O
128,O,O
129,O,O
130,O,O
131,O,O
132,O,O
133,O,O
134,O,O
135,O,O
136,O,O
137,O,B_symptom
138,O,I_symptom
139,B_symptom,I_symptom
140,B_physiology,B_physiology
141,I_physiology,I_physiology
142,I_physiology,I_physiology
143,B_datetime,B_datetime
144,I_datetime,I_datetime
145,I_datetime,I_datetime
146,O,O
147,O,O
148,O,O
149,B_symptom,B_symptom
150,I_symptom,I_symptom
151,B_other_treatment,B_othertreatment
152,I_other_treatment,I_othertreatment
153,O,O
154,O,O
155,O,O
156,O,O
157,O,O
158,O,O
159,B_symptom,B_symptom
160,I_symptom,I_symptom
161,I_symptom,I_symptom
162,I_symptom,I_symptom
163,O,O
164,O,O
165,O,O
166,O,O
167,O,O
168,O,O
169,O,O
170,O,O
171,O,O
172,O,O
173,O,O
174,O,O
175,O,O
176,O,O
177,B_datetime,B_datetime
178,I_datetime,I_datetime
179,O,O
180,O,O
181,B_datetime,B_datetime
182,I_datetime,I_datetime
183,O,O
184,O,O
185,O,O
186,O,O
187,O,O
188,O,O
189,O,O
190,B_symptom,O
191,I_symptom,B_physiology
192,I_symptom,I_physiology
193,O,O
194,B_symptom,B_symptom
195,I_symptom,I_symptom
196,I_symptom,I_symptom
197,I_symptom,I_symptom
198,I_symptom,I_symptom
199,I_symptom,I_symptom
200,I_symptom,I_symptom
201,I_symptom,I_symptom
202,I_symptom,I_symptom
203,I_symptom,I_symptom
204,O,O
205,B_datetime,B_datetime
206,I_datetime,I_datetime
207,O,O
208,O,O
