,word,bz_bio,re_bio
0,多,O,O
1,大,O,O
2,了,O,O
3,我,O,O
4,现,O,O
5,在,O,O
6,就,O,O
7,是,O,O
8,想,O,O
9,问,O,O
10,问,O,O
11,一,O,O
12,下,O,O
13,得,O,O
14,多,O,O
15,少,O,O
16,阴,B_surgery,B_surgery
17,茎,I_surgery,I_surgery
18,延,I_surgery,I_surgery
19,长,I_surgery,I_surgery
20,手,I_surgery,I_surgery
21,术,I_surgery,I_surgery
22,多,O,O
23,少,O,O
24,钱,O,O
25,？,O,O
26,龟,B_sickness,B_sickness
27,头,I_sickness,I_sickness
28,炎,I_sickness,I_sickness
29,喝,O,O
30,什,O,O
31,么,O,O
32,药,O,O
33,这,O,O
34,种,O,O
35,病,O,O
36,怎,O,O
37,么,O,O
38,检,O,O
39,查,O,O
40,1,O,O
41,呀,O,O
42,嗯,O,O
43,！,O,O
44,好,O,O
45,的,O,O
46,！,O,O
47,谢,O,O
48,谢,O,O
49,您,O,O
50,异,B_symptom,B_symptom
51,常,I_symptom,I_symptom
52,出,I_symptom,I_symptom
53,血,I_symptom,I_symptom
54,是,O,O
55,什,O,O
56,么,O,O
57,情,O,O
58,况,O,O
59,我,O,O
60,就,O,O
61,想,O,O
62,咨,O,O
63,询,O,O
64,一,O,O
65,下,O,O
66,拿,O,B_othertreatment
67,点,O,I_othertreatment
68,药,O,I_othertreatment
69,治,O,O
70,理,O,O
71,一,O,O
72,下,O,O
73,求,O,O
74,救,O,O
75,啊,O,O
76,，,O,O
77,疼,B_symptom,B_symptom
78,死,O,O
79,了,O,O
80,2,O,O
81,3,O,O
82,次,O,O
83,你,O,O
84,好,O,O
85,医,O,O
86,生,O,O
87,，,O,O
88,金,B_medicine,B_sickness
89,锁,I_medicine,I_sickness
90,固,I_medicine,I_sickness
91,精,I_medicine,I_sickness
92,丸,I_medicine,I_sickness
93,对,O,O
94,人,O,O
95,的,O,O
96,性,O,O
97,功,O,O
98,能,O,O
99,有,O,O
100,没,O,O
101,有,O,O
102,伤,O,O
103,害,O,O
104,有,O,O
105,点,O,O
106,尴,B_emotion,B_emotion
107,尬,I_emotion,I_emotion
108,了,O,O
109,正,O,O
110,常,O,O
111,性,B_physiology,O
112,爱,I_physiology,O
113,时,O,O
114,间,O,O
115,是,O,O
116,多,O,O
117,久,O,O
118,？,O,O
119,您,O,O
120,好,O,O
121,，,O,O
122,有,O,O
123,什,O,O
124,么,O,O
125,可,O,O
126,以,O,O
127,帮,O,O
128,到,O,O
129,您,O,O
130,的,O,O
131,？,O,O
132,（,O,O
133,网,O,O
134,络,O,O
135,不,O,O
136,稳,O,O
137,定,O,O
138,，,O,O
139,您,O,O
140,Q,O,O
141,Q,O,O
142,或,O,O
143,微,O,O
144,信,O,O
145,多,O,O
146,少,O,O
147,？,O,O
148,一,O,O
149,对,O,O
150,一,O,O
151,分,O,O
152,析,O,O
153,解,O,O
154,答,O,O
155,）,O,O
156,在,O,O
157,宣,O,O
158,武,O,O
159,医,O,O
160,院,O,O
161,做,O,O
162,尿,B_check,O
163,动,I_check,O
164,学,I_check,O
165,注,I_check,O
166,水,I_check,O
167,撑,O,O
168,了,O,O
169,膀,B_part,B_part
170,胱,I_part,I_part
171,当,O,O
172,天,O,O
173,就,O,O
174,好,O,O
175,了,O,O
176,很,O,O
177,多,O,O
178,是,O,O
179,不,O,O
180,是,O,O
181,，,O,O
182,有,O,B_symptom
183,力,O,I_symptom
184,气,O,I_symptom
185,，,O,O
186,什,O,O
187,么,O,O
188,的,O,O
189,爱,O,B_cause
190,手,B_cause,I_cause
191,淫,I_cause,I_cause
192,和,O,O
193,包,B_symptom,B_cause
194,皮,I_symptom,I_cause
195,过,I_symptom,I_cause
196,长,I_symptom,I_cause
197,有,O,O
198,一,O,O
199,定,O,O
200,关,O,O
201,系,O,O
202,吗,O,O
203,那,O,O
204,现,O,O
205,在,O,O
206,用,O,O
207,吃,O,O
208,什,O,O
209,么,O,O
210,药,O,O
211,吗,O,O
212,？,O,O
213,调,O,O
214,理,O,O
215,过,O,O
216,来,O,O
217,呢,O,O
218,！,O,O
219,经,O,B_physiology
220,流,O,I_physiology
221,没,O,O
222,事,O,O
223,吧,O,O
224,？,O,O
225,前,O,O
226,提,O,O
227,你,O,O
228,得,O,O
229,确,O,O
230,诊,O,O
231,是,O,O
232,肾,B_sickness,B_sickness
233,虚,I_sickness,I_sickness
234,，,O,O
235,才,O,O
236,能,O,O
237,调,O,O
238,理,O,O
239,，,O,O
240,看,O,O
241,看,O,O
242,阴,B_symptom,B_symptom
243,虚,I_symptom,I_symptom
244,，,O,O
245,阳,B_symptom,B_symptom
246,虚,I_symptom,I_symptom
247,，,O,O
248,目,O,O
249,前,O,O
250,是,O,O
251,初,O,O
252,步,O,O
253,分,O,O
254,析,O,O
255,，,O,O
256,网,O,O
257,络,O,O
258,描,O,O
259,述,O,O
260,是,O,O
261,有,O,O
262,局,O,O
263,限,O,O
264,的,O,O
265,多,O,O
266,丢,B_emotion,O
267,人,I_emotion,O
268,啊,O,O
269,。,O,O
270,不,O,O
271,中,O,O
272,别,O,O
273,人,O,O
274,知,O,O
275,道,O,O
276,是,O,O
277,哪,O,O
278,方,O,O
279,面,O,O
280,的,O,O
281,炎,O,B_symptom
282,症,O,I_symptom
283,估,O,O
284,计,O,O
285,我,O,O
286,性,B_symptom,B_symptom
287,功,I_symptom,I_symptom
288,能,I_symptom,I_symptom
289,不,I_symptom,I_symptom
290,好,I_symptom,I_symptom
291,，,O,O
292,一,B_frequency,B_datetime
293,周,I_frequency,I_datetime
294,三,I_frequency,O
295,次,I_frequency,O
296,性,I_frequency,B_physiology
297,生,I_frequency,I_physiology
298,活,I_frequency,I_physiology
299,，,O,O
300,老,O,O
301,伴,O,O
302,嫌,O,O
303,少,O,O
304,裕,B_address,B_address
305,华,I_address,I_address
306,路,I_address,I_address
307,，,O,O
308,，,O,O
309,城,B_address,B_address
310,角,I_address,I_address
311,街,I_address,I_address
312,，,O,O
313,，,O,O
314,交,B_address,B_address
315,口,I_address,I_address
