,word,bz_bio,re_bio
0,2,B_age,B_age
1,5,I_age,I_age
2,是,O,O
3,的,O,O
4,今,B_datetime,B_datetime
5,天,I_datetime,I_datetime
6,刚,O,O
7,检,O,O
8,查,O,O
9,的,O,O
10,现,O,O
11,在,O,O
12,离,O,O
13,月,B_physiology,B_physiology
14,经,I_physiology,I_physiology
15,还,O,O
16,有,O,O
17,1,B_datetime,B_datetime
18,3,I_datetime,I_datetime
19,天,I_datetime,I_datetime
20,呢,O,O
21,就,O,O
22,是,O,O
23,不,O,O
24,怎,O,O
25,么,O,O
26,厉,O,O
27,害,O,O
28,你,O,O
29,方,O,O
30,便,O,O
31,照,O,O
32,照,O,O
33,片,O,O
34,吗,O,O
35,建,O,O
36,议,O,O
37,你,O,O
38,最,O,O
39,好,O,O
40,照,O,O
41,一,O,O
42,下,O,O
43,照,O,O
44,片,O,O
45,加,O,O
46,上,O,O
47,我,O,O
48,的,O,O
49,微,O,O
50,信,O,O
51,发,O,O
52,给,O,O
53,我,O,O
54,我,O,O
55,看,O,O
56,一,O,O
57,下,O,O
58,您,O,O
59,好,O,O
60,！,O,O
61,输,B_surgery,B_surgery
62,卵,I_surgery,I_surgery
63,管,I_surgery,I_surgery
64,结,I_surgery,I_surgery
65,扎,I_surgery,I_surgery
66,5,O,B_datetime
67,五,B_datetime,I_datetime
68,年,I_datetime,I_datetime
69,了,O,O
70,，,O,O
71,还,O,O
72,能,O,O
73,做,O,O
74,复,B_surgery,B_surgery
75,通,I_surgery,I_surgery
76,手,I_surgery,I_surgery
77,术,I_surgery,I_surgery
78,吗,O,O
79,？,O,O
80,这,O,O
81,样,O,O
82,的,O,O
83,话,O,O
84,咱,O,O
85,们,O,O
86,怀,B_physiology,B_physiology
87,孕,I_physiology,I_physiology
88,时,O,O
89,间,O,O
90,大,O,O
91,概,O,O
92,是,O,O
93,有,O,O
94,4,B_datetime,B_datetime
95,5,I_datetime,I_datetime
96,天,I_datetime,I_datetime
97,左,I_datetime,O
98,右,I_datetime,O
99,了,O,O
100,那,O,O
101,个,O,O
102,对,O,O
103,身,O,O
104,体,O,O
105,伤,O,O
106,害,O,O
107,最,O,O
108,小,O,O
109,呀,O,O
110,最,O,O
111,近,O,O
112,内,B_fluid,B_fluid
113,分,I_fluid,I_fluid
114,泌,I_fluid,I_fluid
115,物,I_fluid,I_fluid
116,都,O,O
117,是,O,O
118,小,B_symptom,B_symptom
119,白,I_symptom,I_symptom
120,点,I_symptom,I_symptom
121,。,O,O
122,而,O,O
123,且,O,O
124,还,O,O
125,是,O,O
126,干,B_symptom,O
127,的,I_symptom,O
128,擦,O,O
129,过,O,O
130,后,O,O
131,还,O,O
132,是,O,O
133,会,O,O
134,有,O,O
135,。,O,O
136,还,O,O
137,有,O,O
138,点,O,O
139,痒,B_symptom,B_symptom
140,生,B_physiology,B_physiology
141,孩,I_physiology,I_physiology
142,子,I_physiology,I_physiology
143,5,B_datetime,B_datetime
144,个,I_datetime,I_datetime
145,月,I_datetime,I_datetime
146,了,O,O
147,，,O,O
148,有,O,O
149,感,B_symptom,B_symptom
150,染,I_symptom,I_symptom
151,吃,B_other_treatment,B_othertreatment
152,药,I_other_treatment,I_othertreatment
153,了,O,O
154,，,O,O
155,可,O,O
156,是,O,O
157,现,O,O
158,在,O,O
159,小,B_symptom,B_symptom
160,肚,I_symptom,I_symptom
161,子,I_symptom,I_symptom
162,疼,I_symptom,I_symptom
163,我,O,O
164,1,O,O
165,5,O,O
166,1,O,O
167,4,O,O
168,6,O,O
169,0,O,O
170,1,O,O
171,3,O,O
172,6,O,O
173,5,O,O
174,7,O,O
175,应,O,O
176,该,O,O
177,9,B_datetime,B_datetime
178,号,I_datetime,I_datetime
179,来,O,O
180,的,O,O
181,今,B_datetime,B_datetime
182,年,I_datetime,I_datetime
183,治,O,O
184,疗,O,O
185,医,O,O
186,生,O,O
187,给,O,O
188,打,O,O
189,了,O,O
190,不,B_symptom,O
191,排,I_symptom,B_physiology
192,卵,I_symptom,I_physiology
193,，,O,O
194,卵,B_symptom,B_symptom
195,泡,I_symptom,I_symptom
196,长,I_symptom,I_symptom
197,到,I_symptom,I_symptom
198,0,I_symptom,I_symptom
199,.,I_symptom,I_symptom
200,6,I_symptom,I_symptom
201,就,I_symptom,I_symptom
202,不,I_symptom,I_symptom
203,长,I_symptom,I_symptom
204,了,O,O
205,3,B_datetime,B_datetime
206,天,I_datetime,I_datetime
207,？,O,O
208,我,O,O
209,刚,O,O
210,才,O,O
211,在,O,O
212,忙,O,O
213,不,O,O
214,好,O,O
215,意,O,O
216,思,O,O
217,咱,O,O
218,们,O,O
219,这,O,O
220,个,O,O
221,医,O,O
222,院,O,O
223,在,O,O
224,哪,O,O
225,儿,O,O
226,？,O,O
227,我,O,O
228,是,O,O
229,3,B_datetime,B_datetime
230,月,I_datetime,I_datetime
231,1,I_datetime,I_datetime
232,号,I_datetime,I_datetime
233,做,O,O
234,了,O,O
235,人,B_surgery,B_surgery
236,流,I_surgery,I_surgery
237,，,O,O
238,2,B_datetime,B_datetime
239,8,I_datetime,I_datetime
240,没,B_symptom,B_symptom
241,来,I_symptom,I_symptom
242,月,I_symptom,I_symptom
243,经,I_symptom,I_symptom
244,，,O,O
245,但,O,O
246,2,B_datetime,B_datetime
247,8,I_datetime,I_datetime
248,号,I_datetime,I_datetime
249,同,B_physiology,B_physiology
250,房,I_physiology,I_physiology
251,了,O,O
252,，,O,O
253,现,O,O
254,在,O,O
255,4,B_datetime,B_datetime
256,月,I_datetime,I_datetime
257,2,I_datetime,I_datetime
258,好,I_datetime,O
259,还,O,O
260,没,B_symptom,B_symptom
261,来,I_symptom,I_symptom
262,月,I_symptom,I_symptom
263,经,I_symptom,I_symptom
264,，,O,O
265,有,O,O
266,可,O,O
267,能,O,O
268,又,O,O
269,怀,B_physiology,B_physiology
270,孕,I_physiology,I_physiology
271,了,O,O
272,吗,O,O
273,头,O,B_symptom
274,像,O,I_symptom
275,的,O,I_symptom
276,奔,O,I_symptom
277,驰,O,I_symptom
278,真,O,O
279,是,O,O
280,我,O,O
281,的,O,O
282,月,B_physiology,B_physiology
283,经,I_physiology,I_physiology
284,来,O,O
285,了,O,O
286,半,B_datetime,B_datetime
287,个,I_datetime,I_datetime
288,月,I_datetime,I_datetime
289,还,B_symptom,O
290,没,I_symptom,O
291,好,I_symptom,O
292,可,O,O
293,能,O,O
294,是,O,O
295,什,O,O
296,么,O,O
297,原,O,O
298,因,O,O
299,那,O,O
300,女,O,O
301,的,O,O
302,有,O,O
303,性,B_sickness,O
304,病,I_sickness,O
305,那,O,O
306,就,O,O
307,先,O,O
308,来,O,O
309,院,O,O
310,检,O,O
311,查,O,O
312,不,O,O
313,是,O,O
314,多,O,O
315,多,O,O
316,.,O,O
317,白,B_fluid,O
318,滞,I_fluid,O
319,能,O,O
320,吃,O,O
321,嘴,O,B_part
322,里,O,O
323,吗,O,O
324,?,O,O
325,大,O,O
326,夫,O,O
327,你,O,O
328,真,O,O
329,好,O,O
330,咱,O,O
331,们,O,O
332,是,O,O
333,正,O,O
334,规,O,O
335,卫,O,O
336,生,O,O
337,部,O,O
338,直,O,O
339,属,O,O
340,的,O,O
341,医,O,O
342,院,O,O
343,阴,B_symptom,B_symptom
344,毛,I_symptom,I_symptom
345,下,I_symptom,I_symptom
346,长,I_symptom,I_symptom
347,小,I_symptom,I_symptom
